evidence_id,area,claim_classification,locator,sha256_or_value,observation
ES-REV-2026-FAC-002-E-00001,FOUNDER_AUTHORIZATION,DIRECTLY_OBSERVED,source_evidence/VALID_FRESH_SEGREGATED_REVIEW_DIRECTIVE.md,ce9de1ea05619ce3748742d9c0d034ba63555057e48906bf4857cce1f115b9d0,Requires read-only/on-request ES-RA-02 configuration before any reviewer process.
ES-REV-2026-FAC-002-E-00002,RUNTIME_CONTROL,DETERMINISTICALLY_VERIFIED,git:de7b0166a440673d023160ed7c3af214d49cd40f:AGENTS.md,c5cdc19b2b23ce4d52ea52898c40e82c76ec90834e746b58fd671f5b5dc426ff,Repository control prohibits unrestricted formal-review operation without sufficient exception.
ES-REV-2026-FAC-002-E-00003,RUNTIME_CONTROL,DETERMINISTICALLY_VERIFIED,git:de7b0166a440673d023160ed7c3af214d49cd40f:governance/founder_orchestrated_review/RUNTIME_PERMISSION_CONTROL.md,8ab99a6a2440e4205ec46187e553cd58c42d55e2e650b26ed1a4935989086a06,ES-RA-02 expected mode is read-only/on-request and mismatches fail closed.
ES-REV-2026-FAC-002-E-00004,PERMISSION_STATE,DIRECTLY_OBSERVED,PRESPAWN_PERMISSION_EVIDENCE.json,FAIL,Observed danger-full-access/unrestricted and approval mode never before any reviewer creation.
ES-REV-2026-FAC-002-E-00005,REVIEWER_IDENTITY,DIRECTLY_OBSERVED,ES_RA_02_IDENTITY_CONFIRMATION.md,FAIL,Registered configuration exists but active registered identity cannot be established in this runtime.
ES-REV-2026-FAC-002-E-00006,CANDIDATE_INPUT,DETERMINISTICALLY_VERIFIED,outputs/EquineSync_Facility_Tenant_Organization_PIA_V1_1_0_Frozen_Revised_Candidate.zip,9665172277ea50eb7a3f1c6e04ae3540211adcf8b9c471937180b4488931e5eb,Outer candidate ZIP hash matches directive.
ES-REV-2026-FAC-002-E-00007,EVIDENCE_INPUT,DETERMINISTICALLY_VERIFIED,outputs/EquineSync_Facility_PIA_Founder_Decision_Incorporation_Evidence_V1_1_0.zip,ad8857bee32e8b0b2c7986ef3d065c5896af992776bdfe97137826a742be3bdd,Outer evidence ZIP hash matches directive.
ES-REV-2026-FAC-002-E-00008,FROZEN_CHECKSUMS,DETERMINISTICALLY_VERIFIED,FRESH_SEGREGATED_REVIEW_STARTUP_VERIFICATION.md,72/72_PASS,Parent intake check only; not formal reviewer reperformance.
ES-REV-2026-FAC-002-E-00009,EVIDENCE_CHECKSUMS,DETERMINISTICALLY_VERIFIED,FRESH_SEGREGATED_REVIEW_STARTUP_VERIFICATION.md,84/84_PASS,Parent intake check only; not formal reviewer reperformance.
ES-REV-2026-FAC-002-E-00010,PREDECESSOR_INTEGRITY,DETERMINISTICALLY_VERIFIED,FROZEN_PACKAGE_INTEGRITY_REVIEW.md,0_MODIFICATIONS,Parent git comparison found no frozen predecessor modifications.
ES-REV-2026-FAC-002-E-00011,CANDIDATE_INTEGRITY,DETERMINISTICALLY_VERIFIED,FROZEN_PACKAGE_INTEGRITY_REVIEW.md,0_MODIFICATIONS,Parent git comparison found no current frozen candidate modifications.
ES-REV-2026-FAC-002-E-00012,SUBSTANTIVE_SCOPE,DIRECTLY_OBSERVED,FRESH_SEGREGATED_REVIEW_SCOPE.md,ALL_BLOCKED,No ES-RA-02 review scope item was performed.
