matrix_id,control_area,repository_evidence_paths,observed_current_state,current_state_classification,evidence_classification,limitation,gap_ids
AUTHZ-0001,JWT verification,backend/core/auth.py,"get_current_user decodes JWT, loads user, blocks missing/suspended/unverified users, and resolves barn_id.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Runtime token policy not exercised in this audit.,CGP006-MAP-GAP-0002
AUTHZ-0002,Password hashing,backend/core/auth.py,bcrypt hash and verify helpers observed.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Password reset/login paths not runtime tested.,CGP006-MAP-GAP-0002
AUTHZ-0003,Production config validation,backend/core/config.py,"Required Mongo vars, production JWT secret, and CORS origin validation observed.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Actual production env not inspected.,CGP006-MAP-GAP-0010
AUTHZ-0004,Auth rate limiting,backend/core/rate_limit.py,limits-based dependency wired to auth-sensitive routes.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,In-memory store is per-process; shared-store evidence absent.,CGP006-MAP-GAP-0002
AUTHZ-0005,Capability RBAC,backend/core/permissions.py,CAPABILITIES map and require fail closed on unknown capability.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Complete endpoint capability proof remains open.,CGP006-MAP-GAP-0002
AUTHZ-0006,Platform admin boundary,backend/core/permissions.py,platform_role separated from barn role; valid platform roles enumerated.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Operational support-access governance incomplete.,CGP006-MAP-GAP-0006
AUTHZ-0007,Tenant query helper,backend/core/tenancy.py,barn_filter forces caller barn_id after extra merge.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Not all route query paths were exhaustively proven.,CGP006-MAP-GAP-0002
AUTHZ-0008,Facility disable gate,backend/core/tenancy.py;backend/server.py,make_require_active_facility and optional-auth variant attached to many product routers.,PARTIALLY_IMPLEMENTED,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Intentional exclusions and mixed-auth routers require endpoint-level matrix.,CGP006-MAP-GAP-0002
AUTHZ-0009,Frontend route permits,frontend/src/App.js,Protected and permit route wrappers observed.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Frontend route guards are not server authorization proof.,CGP006-MAP-GAP-0002
AUTHZ-0010,Support access,backend/routes/admin_portal/support.py,Support routes require platform role and support-tab access.,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,No operational support access logs or policies verified.,CGP006-MAP-GAP-0006
