requirement_id,requirement_text,source_refs,founder_decision_refs,acceptance_refs,test_refs,evidence_refs,gate
TCSN-REQ-001,"The system SHALL preserve separate canonical records for tasks, calendar events, schedule occurrences, notifications, acknowledgments, and escalations.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-002,"The underlying domain record SHALL remain authoritative for substantive care, medical, financial, safeguarding, contractual, facility, lesson, show, or provider truth.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-003,"The EquineSync calendar SHALL own EquineSync event identity, recurrence, schedule authority, time-zone treatment, and synchronization state.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-004,"The task record SHALL own assignment, execution, exception, and completion truth for operational work.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-005,"The notification record SHALL own delivery, failure, retry, channel, receipt, and acknowledgment evidence without mutating the underlying task or event.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-006,A task SHALL NOT be created merely because an event exists unless an explicit rule or authorized actor creates or links it.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-007,An event SHALL NOT be created merely because a task exists unless the task is scheduled or a user elects to place it on the calendar.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-008,"A calendar event or task assignment SHALL NOT independently create medical, legal, financial, relationship, employment, guardian, or access authority.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-009,"Every task, event, notification, escalation, and override SHALL identify one authoritative owning domain and one accountable record owner.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-010,"The system SHALL expose the source, authority, and governing instruction for every system-generated operational item.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-011,"Tasks SHALL support direct assignment, acceptance-required assignment, claimable assignment, suggested assignment, and emergency assignment.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-012,"Assignment mode SHALL be determined by task type, governing authority, risk class, and organizational configuration.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-013,Assignment SHALL NOT grant broader access than the minimum information required to perform the work.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-014,"Delegation SHALL distinguish reassignment, retained-responsibility delegation, substitute coverage, authorized pool claim, emergency takeover, and supervisor override.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-015,"Delegation SHALL be prohibited when the task type, governing instruction, professional scope, safeguarding rule, or assigning authority does not permit it.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-016,"Tasks SHALL support due instants, due windows, start windows, no-fixed-time due dates, and unscheduled backlog states.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-017,"Task completion SHALL preserve completing actor, actual completion time, entered time, location context, instruction version, evidence, exception, offline status, and synchronization time.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
