dependency_id,downstream_guide,upstream_guide,upstream_control,minimum_version,maximum_version,dependency_type,status,impact_if_unavailable,last_verified,notes,compatibility_treatment
CGDEP-0001,ES-CG-01,ES-CG-00,,,,GUIDE_SEQUENCE,PLANNED,Authority guide cannot be drafted before charter placeholder is accepted.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0002,ES-CG-13,ES-CG-00,,,,GUIDE_SEQUENCE,PLANNED,Completion and traceability requires charter context.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0003,ES-CG-13,ES-CG-01,,,,GUIDE_SEQUENCE,PLANNED,Completion and traceability requires authority and precedence context.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0004,ES-CG-10,ES-CG-13,,,,GUIDE_SEQUENCE,PLANNED,Testing and assurance requires evidence and traceability context.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0005,ES-CG-10,ES-CG-00,,,,GUIDE_SEQUENCE,PLANNED,Testing and assurance requires charter authority context.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0006,ES-CG-10,ES-CG-01,,,,GUIDE_SEQUENCE,PLANNED,Testing and assurance requires authority and precedence context.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0007,WAVE-2,WAVE-1,,SCENARIO_VALIDATED,,WAVE_GATE,PLANNED,Wave 2 requires Wave 1 foundation unless separately authorized.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0008,WAVE-3,WAVE-2,,,,WAVE_GATE,PLANNED,Wave 3 depends on relevant Wave 2 guides.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0009,WAVE-4,WAVES-1-3,,,,WAVE_GATE,PLANNED,Wave 4 depends on relevant Waves 1 through 3 guides.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0010,WAVE-5,WAVES-1-4,,,,WAVE_GATE,PLANNED,Wave 5 depends on relevant Waves 1 through 4 guides.,2026-07-26,High-level initialization dependency only; no control-level dependency is created.,
CGDEP-0011,CGP-003,CGP-002,,0.2.0,,PROGRAM_FOUNDATION,PLANNED,CGP-003 source inventory should not begin without accepted CGP-002 foundation.,2026-07-26,Program-level dependency only; no guide control dependency is created.,
CGDEP-0012,CGP-004,CGP-003,,0.3.0,,PROGRAM_SOURCE_INVENTORY,PLANNED,CGP-004 current repository assessment should not begin without CGP-003 source inventory and gap register.,2026-07-26,Program-level source inventory dependency; no guide control dependency is created.,CGP-004 must preserve CGP-003 retained gaps and source authority classes.
CGDEP-0013,CGP-005,CGP-004,,0.4.0,,PROGRAM_CURRENT_STATE_ASSESSMENT,PLANNED,CGP-005 source-freeze planning should not begin without the current repository and architecture assessment.,2026-07-26,Program-level assessment dependency only; no guide control dependency is created.,"CGP-005 must preserve CGP-004 retained gaps, open decisions, and non-activation boundaries."
