"domain","requirement_id","requirement","source_ids","acceptance_id","positive_test_id","negative_or_abuse_test_id","planned_evidence_id","traceability_state"
"Identity","IDENTITY-REQ-002","One natural person SHALL map to one durable canonical person identity unless the identity remains explicitly unresolved or disputed.","SRC-003","IDENTITY-REQ-002-AC-SR","IDENTITY-REQ-002-DOC-POS-SR","IDENTITY-REQ-002-DOC-NEG-SR","IDENTITY-REQ-002-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-003","An account SHALL belong to one controlling identity and SHALL NOT substitute for legal, personal, organizational, guardian, ownership, or relationship truth.","SRC-003","IDENTITY-REQ-003-AC-SR","IDENTITY-REQ-003-DOC-POS-SR","IDENTITY-REQ-003-DOC-NEG-SR","IDENTITY-REQ-003-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-005","External identity providers MAY authenticate but SHALL NOT determine EquineSync roles, relationships, permissions, representation, or authority.","SRC-003;SRC-004","IDENTITY-REQ-005-AC-SR","IDENTITY-REQ-005-DOC-POS-SR","IDENTITY-REQ-005-DOC-NEG-SR","IDENTITY-REQ-005-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-006","Every consequential action SHALL preserve the authenticated principal, acting principal, represented principal where applicable, approving actor, executing actor, tenant context, session, and relevant evidence.","SRC-003;SRC-011","IDENTITY-REQ-006-AC-SR","IDENTITY-REQ-006-DOC-POS-SR","IDENTITY-REQ-006-DOC-NEG-SR","IDENTITY-REQ-006-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-007","A person MAY participate in multiple tenants through one durable identity, but each tenant SHALL independently govern membership, roles, visibility, billing, communications, and audit.","SRC-003;SRC-010","IDENTITY-REQ-007-AC-SR","IDENTITY-REQ-007-DOC-POS-SR","IDENTITY-REQ-007-DOC-NEG-SR","IDENTITY-REQ-007-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-008","Global identity resolution SHALL NOT expose tenant-specific data or confirm another tenant relationship to an unauthorized actor.","SRC-003;SRC-009;SRC-010","IDENTITY-REQ-008-AC-SR","IDENTITY-REQ-008-DOC-POS-SR","IDENTITY-REQ-008-DOC-NEG-SR","IDENTITY-REQ-008-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-009","Invitation issuance SHALL create no operational authority until the invitation is validly accepted, required checks are completed, and the membership or relationship is activated.","SRC-003;SRC-006;SRC-012","IDENTITY-REQ-009-AC-SR","IDENTITY-REQ-009-DOC-POS-SR","IDENTITY-REQ-009-DOC-NEG-SR","IDENTITY-REQ-009-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-010","Invitation tokens SHALL be single-use, revocable, purpose-bound, stored only in protected form, and expire under an approved security policy.","SRC-010;SRC-012","IDENTITY-REQ-010-AC-SR","IDENTITY-REQ-010-DOC-POS-SR","IDENTITY-REQ-010-DOC-NEG-SR","IDENTITY-REQ-010-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-011","Onboarding SHALL progressively collect only information necessary for the current step and SHALL NOT require users to understand the entire ecosystem before receiving value.","SRC-004;SRC-009","IDENTITY-REQ-011-AC-SR","IDENTITY-REQ-011-DOC-POS-SR","IDENTITY-REQ-011-DOC-NEG-SR","IDENTITY-REQ-011-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-012","The platform SHALL distinguish person identity, authentication method, role, organization, horse relationship, billing responsibility, and permission authority throughout enrollment.","SRC-004","IDENTITY-REQ-012-AC-SR","IDENTITY-REQ-012-DOC-POS-SR","IDENTITY-REQ-012-DOC-NEG-SR","IDENTITY-REQ-012-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-013","Role or membership assignment SHALL NOT by itself establish legal authority, ownership, guardianship, professional authority, or unrestricted access.","SRC-003;SRC-005;SRC-006","IDENTITY-REQ-013-AC-SR","IDENTITY-REQ-013-DOC-POS-SR","IDENTITY-REQ-013-DOC-NEG-SR","IDENTITY-REQ-013-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-014","Horse profile creation, payment activity, barn membership, emergency-contact status, or record possession SHALL NOT establish horse ownership, custody, care authority, or record access.","SRC-003;SRC-005","IDENTITY-REQ-014-AC-SR","IDENTITY-REQ-014-DOC-POS-SR","IDENTITY-REQ-014-DOC-NEG-SR","IDENTITY-REQ-014-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-015","Payment details or payment performance SHALL NOT establish guardian status, legal responsibility, signing capacity, ownership, or permission authority.","SRC-003;SRC-007","IDENTITY-REQ-015-AC-SR","IDENTITY-REQ-015-DOC-POS-SR","IDENTITY-REQ-015-DOC-NEG-SR","IDENTITY-REQ-015-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-016","A minor or protected participant SHALL retain a distinct identity separate from every guardian, payer, coach, trainer, and household account.","SRC-003;SRC-008","IDENTITY-REQ-016-AC-SR","IDENTITY-REQ-016-DOC-POS-SR","IDENTITY-REQ-016-DOC-NEG-SR","IDENTITY-REQ-016-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-017","Guardians and minors SHALL use separate accounts and credentials; shared credentials, invisible guardian takeover, and trainer use of a guardian account SHALL be prohibited.","SRC-008","IDENTITY-REQ-017-AC-SR","IDENTITY-REQ-017-DOC-POS-SR","IDENTITY-REQ-017-DOC-NEG-SR","IDENTITY-REQ-017-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-018","Guardian authority SHALL be evidenced, scoped, effective-dated, revocable, and reassessed upon material lifecycle changes.","SRC-005;SRC-007;SRC-008","IDENTITY-REQ-018-AC-SR","IDENTITY-REQ-018-DOC-POS-SR","IDENTITY-REQ-018-DOC-NEG-SR","IDENTITY-REQ-018-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-019","A minor account SHALL receive only age-appropriate, purpose-limited capabilities and SHALL NOT inherit unrestricted billing, medical, legal, safeguarding, ownership, or administrative access.","SRC-008","IDENTITY-REQ-019-AC-SR","IDENTITY-REQ-019-DOC-POS-SR","IDENTITY-REQ-019-DOC-NEG-SR","IDENTITY-REQ-019-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-020","Ordinary one-to-one electronic communication between a minor and an adult third party SHALL remain unavailable through enrollment or account configuration.","SRC-008;SRC-012","IDENTITY-REQ-020-AC-SR","IDENTITY-REQ-020-DOC-POS-SR","IDENTITY-REQ-020-DOC-NEG-SR","IDENTITY-REQ-020-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-023","High-risk identity actions SHALL require stronger assurance, explicit authority, and additional audit evidence.","SRC-003;SRC-006;SRC-010;SRC-016","IDENTITY-REQ-023-AC-SR","IDENTITY-REQ-023-DOC-POS-SR","IDENTITY-REQ-023-DOC-NEG-SR","IDENTITY-REQ-023-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-024","Sessions SHALL preserve account, authenticated identity, assurance level, tenant context, device, representation, risk, issue time, expiry, and revocation state.","SRC-003;SRC-010","IDENTITY-REQ-024-AC-SR","IDENTITY-REQ-024-DOC-POS-SR","IDENTITY-REQ-024-DOC-NEG-SR","IDENTITY-REQ-024-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-025","Account restriction, suspension, closure, and compromise states SHALL not erase identity, authorship, historical relationships, accrued obligations, or evidence.","SRC-003;SRC-013","IDENTITY-REQ-025-AC-SR","IDENTITY-REQ-025-DOC-POS-SR","IDENTITY-REQ-025-DOC-NEG-SR","IDENTITY-REQ-025-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-026","Account recovery SHALL be risk-proportionate, resistant to enumeration and takeover, fully audited, and incapable of silently restoring revoked relationships or privileged authority.","SRC-003;SRC-010;SRC-011","IDENTITY-REQ-026-AC-SR","IDENTITY-REQ-026-DOC-POS-SR","IDENTITY-REQ-026-DOC-NEG-SR","IDENTITY-REQ-026-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-028","A disputed identity or authority claim SHALL be visibly classified and SHALL NOT be silently normalized into verified truth.","SRC-003;SRC-009;SRC-013","IDENTITY-REQ-028-AC-SR","IDENTITY-REQ-028-DOC-POS-SR","IDENTITY-REQ-028-DOC-NEG-SR","IDENTITY-REQ-028-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
