question_identifier,guide_identifier,existing_status,adoption_readiness_status,missing_element,lifecycle_stage_affected,adoption_condition,activation_condition,implementation_mapping_condition,implementation_condition,founder_decision_requirement,source_supported,contextual_influence_separated,recommendation
ES-CG-00-DQ-0001,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0002,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0003,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0004,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0005,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0006,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0007,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-00-DQ-0008,ES-CG-00,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-01-DQ-0001,ES-CG-01,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
ES-CG-01-DQ-0002,ES-CG-01,PARTIALLY_ANSWERED,SUFFICIENT_FOR_CONDITIONAL_ADOPTION,"Full activation, implementation-mapping, or implementation evidence remains outside this adoption-readiness workstream.",ACTIVATION_AND_IMPLEMENTATION,CGP006-AR-COND-0001;CGP006-AR-COND-0005;CGP006-AR-COND-0002;CGP006-AR-COND-0003;CGP006-AR-COND-0004,SEPARATE_ACTIVATION_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_MAPPING_AUTHORITY_REQUIRED,SEPARATE_IMPLEMENTATION_AUTHORITY_AND_EVIDENCE_REQUIRED,NONE_FOR_ADOPTION_CONSIDERATION,YES,YES,Accept as sufficient for conditional adoption; do not relabel as fully answered.
