role_title,responsibilities,authority_limits,proposed_appointee,appointment_date,written_acceptance_status,vacancy_status,succession_or_backup_designation,conflicts_or_independence_limitations,controls_affected_if_vacant,founder_decision_item
governance stewardship,Review governance stewardship controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for whether this package is reviewed at all; the 90-day governance review has no addressee.,FD-T1R2-002
product domain ownership,Review product domain ownership controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for the 96 requirement rows; requirements_with_no_owner is 96 of 96.,FD-T1R2-002
technical implementation,Review technical implementation controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for locating implementations; 66 of 96 requirements have no implementation candidate.,FD-T1R2-002
security,Review security controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for security findings; the observed findings register holds zero records and no one is required to add any.,FD-T1R2-002
privacy,Review privacy controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for the 5 privacy-relevant requirements or for any data-protection assessment.,FD-T1R2-002
safeguarding,Review safeguarding controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for the 1 safeguarding-relevant requirement.,FD-T1R2-002
financial controls,Review financial controls controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for the 2 financial-control requirements.,FD-T1R2-002
equine health and welfare,Review equine health and welfare controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,"No function is answerable for the 1 equine health and welfare requirement, which has no implementation candidate.",FD-T1R2-002
records and evidence custody,Review records and evidence custody controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,"No function is answerable for evidence custody, so the LOCKED and ACCESSIONED lifecycle states are unreachable.",FD-T1R2-002
release authority,Review release authority controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,"No function holds release authority, so the ACCESSIONED to ACTIVE transition is unreachable and nothing in this package can become operative.",FD-T1R2-002
incident response,Review incident response controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,No function is answerable for incidents; the incident triggering event in the review calendar has no addressee.,FD-T1R2-002
review administration,Review review administration controls every 90 days or on triggering event,"No closure, acceptance, certification, approval, implementation, activation, production, adoption, or merge authority may be inferred while unappointed.",FOUNDER_ACTION_REQUIRED_NO_APPOINTEE_INFERRED,NOT_RECORDED,NOT_RECORDED,VACANT_PENDING_FOUNDER_APPOINTMENT,TO_BE_APPOINTED,Cannot close own unresolved finding without independent validation where required,"No function maintains the review calendar, so the 14 review dates and 14 escalation deadlines are unmonitored.",FD-T1R2-002
