artifact_class_id,artifact_class,purpose,authority_owner,authority_effect,change_treatment,closure_treatment,rule_ids
CONSTITUTIONAL_CANON,Constitutional canon,Highest-order governance within authorized domain.,Founder or constitutional authority,Adoption and lock require exact bytes; activation does not authorize implementation unless separately stated.,Material amendment requires successor; historical bytes preserved.,"Closure requires source, lifecycle, findings, accession/custody, retained-risk treatment.",ES-GPS-CLASS-001; ES-GPS-AUTH-002
PRODUCT_IMPLEMENTATION_ATLAS,Product Implementation Atlas or PIA,Product/domain design authority subordinate to canon and Founder directives.,Founder or delegated product governance authority,May guide design after adoption; no implementation authority by itself.,Partial supersession must identify surviving provisions.,PIA closure requires source identity or certified historical exception plus retained findings.,ES-GPS-CLASS-001; ES-GPS-IMPL-001
IMPLEMENTATION_ATLAS,Master or domain Implementation Atlas,"Sequencing, dependency, mapping, and work-package coordination.","Founder, implementation governance owner, or delegated authority",Planning authority only unless exact implementation authorization exists.,Material sequencing or authority changes require successor or amendment record.,Closure requires no unowned blockers inside scope or explicit exclusions.,ES-GPS-CLASS-001; ES-GPS-IMPL-001
CODE_GUIDE,Code Guide,Engineering interpretation and practice within activated scope.,Founder or code-guide governance authority,"No implementation mapping, activation, or runtime effect unless separately authorized.",Material guide changes require versioned successor and reactivation analysis.,Guide closure does not equal activation or blocker closure.,ES-GPS-CLASS-001; ES-GPS-ACT-001
ARCHITECTURE_DECISION_RECORD,Architecture Decision Record or ADR,Bounded architectural or technical decision record.,Architecture owner within delegated scope,No implementation authority by itself.,New consequence or contradiction requires successor ADR.,"Closure requires decision scope, authority, consequences, retained risk.",ES-GPS-CLASS-001; ES-GPS-SUP-001
OPERATING_STANDARD,Operating standard,Recurring governance or operational procedure.,Founder or standard owner,Subordinate to constitutional governance; this package remains candidate until adopted and activated.,Material amendments require controlled versioning; lock optional by Founder decision.,"Documentary completion is not adoption, lock, or activation.",ES-GPS-CLASS-001; ES-GPS-MAINT-001
REGISTER,Register,"Controlled rows recording current-state facts, lifecycle, findings, or decisions.",Register owner and steward,Evidentiary or control record only unless its controlling source grants authority.,"Rows are corrected, superseded, or tombstoned; not silently overwritten.",Closure requires all in-scope rows reconciled or explicitly retained.,ES-GPS-CLASS-001; ES-GPS-FIND-001
RUNBOOK,Runbook,Repeatable operational execution within approved authority.,Operational owner,May direct execution only inside existing authority.,Operational changes versioned; emergency changes get retrospective review.,Readiness claims require rehearsal or certified substitute evidence.,ES-GPS-CLASS-001; ES-GPS-OPS-001
EVIDENCE_PACKAGE,Evidence package,"Proof of fact, test, state, review, integration, or custody event.",Evidence steward,Evidence cannot create authority by itself.,Corrections create addenda or successor evidence packages.,"Closure requires manifest, checksum, scope, and limitation validation.",ES-GPS-CLASS-001; ES-GPS-SRC-001
PILOT_GENERATED_EVIDENCE,Pilot-generated evidence,"Telemetry, observations, outcomes, incidents, support records, and review data produced during controlled pilot activity.",Founder or pilot evidence steward,May substitute for planned evidence only through Founder interpretation and recorded scope.,Contradictions trigger review rather than deletion.,"Closure requires environment, build, cohort, duration, feature/data scope, provenance, anomalies, metrics, and substitute requirement mapping.",ES-GPS-PILOTEVD-001; ES-GPS-PILOT-001
FOUNDER_DIRECTIVE,Founder directive,"Durable authority to grant, withhold, narrow, or condition action.",Founder,Only exact authority named by directive exists.,Clarifying or successor directive required for expansion.,Closure requires authorized actions complete and prohibited actions untouched.,ES-GPS-AUTH-001; ES-GPS-FA-001
CUSTODY_RECEIPT,Custody receipt,Evidence that exact expected bytes exist at protected repository state.,Custody steward,Custody is evidentiary and does not create activation or production authority.,Incorrect receipts require corrective receipt preserving historical fact.,"Closure requires protected head, path, hash, byte length, and receipt validation.",ES-GPS-CUST-001; ES-GPS-SRC-001
