item_id,requirement,status,governing_source,implementation_evidence,assessment,gap_ids,blocks_execution_readiness
RELA-001,Governing canon and Atlas,SOURCE_SUPPORTED_NOT_EXECUTED,Relationships Atlas 04,docs/canon/MASTER_RELATIONSHIP_MODEL.md; final lock; Master Atlas,Authority is traceable; the executable relationship Atlas is incomplete.,S2-GAP-030,True
RELA-002,Workflow identifier,PARTIAL_DOCUMENTARY,Relationships Atlas 11,ATL-FND-RELATIONSHIPS; BN3A; BN3B,Planning identifiers exist; no canonical end-to-end workflow ID binds lifecycle execution.,S2-GAP-030,True
RELA-003,"Actors, accounts, people, organizations",PARTIAL_IMPLEMENTATION,Relationships Atlas 07;09,users; account_memberships; identity/relationship canons,Endpoints exist but canonical relationship records and source authority do not.,S2-GAP-015;S2-GAP-016,True
RELA-004,Facilities and barns,PARTIAL_IMPLEMENTATION,Relationships Atlas 09,barn_id; account_context; tenancy helpers,Compatibility tenant/facility context exists; canonical relationship lifecycle is absent.,S2-GAP-015;S2-GAP-016,True
RELA-005,"Horses, owners, riders",PARTIAL_IMPLEMENTATION,Relationships Atlas 09;14,backend/routes/horse_ledger.py,Fragmented stable-ID predicates exist; they are not a canonical versioned relationship graph.,S2-GAP-015,True
RELA-006,Guardians and dependents,PARTIAL_IMPLEMENTATION,Relationships Atlas 09;17,student_guardians.py; minor_safety.py,Adjacent guardian workflow exists; global D08/CP3-04 remains separately blocked.,S2-GAP-031,True
RELA-007,Trainers and staff,PARTIAL_IMPLEMENTATION,Relationships Atlas 09;16,roles; memberships; route checks,Roles/memberships cannot establish relationship or permission by themselves.,S2-GAP-016,True
RELA-008,Service providers,PARTIAL_IMPLEMENTATION,Relationships Atlas 09;16,provider_access.py; test_rf10_service_provider_care_partner.py,Explicit grants cover a narrow slice; canonical delegation/expiry/versioning is absent.,S2-GAP-017,True
RELA-009,Tenant membership,PARTIAL_IMPLEMENTATION,Relationships Atlas 09-11,account_memberships.py; account_context.py,Compatibility projection and selection exist; lifecycle authority is incomplete.,S2-GAP-016,True
RELA-010,"Ownership, custody, care responsibility",DOCUMENTED_NOT_IMPLEMENTED,Relationships Atlas 09-10,Relationship canon; horse ledger fragments,No canonical claims/lifecycle implementation was found for the full set.,S2-GAP-015,True
RELA-011,Delegation and representation,DOCUMENTED_NOT_IMPLEMENTED,Relationships Atlas 10;16,Relationship/Permission canons; W1 permission gap matrix,"No canonical bounded delegation aggregate, expiry, revocation watermark, or no-redelegation proof exists.",S2-GAP-017,True
RELA-012,Guardian-dependent and horse-person relationships,PARTIAL_IMPLEMENTATION,Relationships Atlas 09,student_guardians.py; horse_ledger.py,Domain fragments do not establish complete canonical relationship truth.,S2-GAP-015;S2-GAP-031,True
RELA-013,Facility and business relationships,PARTIAL_IMPLEMENTATION,Relationships Atlas 09,account_memberships; provider assignments; invites,Compatibility relations are fragmented and lack common lifecycle/provenance.,S2-GAP-015;S2-GAP-016,True
RELA-014,Temporal validity and lifecycle transitions,DOCUMENTED_NOT_IMPLEMENTED,Relationships Atlas 10;15,Relationship canon; lock report,Complete propose/verify/activate/amend/dispute/terminate/revoke/expire/supersede history is absent.,S2-GAP-015,True
RELA-015,Conflicting claims and historical preservation,DOCUMENTED_NOT_IMPLEMENTED,Relationships Atlas 10;15,Relationship canon; retained proposals,No executable conflict-resolution or immutable event oracle exists.,S2-GAP-015,True
RELA-016,Audit and authorization dependency,PARTIAL_IMPLEMENTATION,Relationships Atlas 16;18,audit.py; permissions.py; tenancy.py,Audit is fail-open and policy/delegation integration is incomplete.,S2-GAP-017;S2-GAP-023,True
RELA-017,"Privacy, notice, consent",PARTIAL_DOCUMENTARY,Relationships Atlas 17;20,Relationship canon; Agreement/Consent canon; minor safety,Dependencies are identified but no complete executable notice/consent boundary exists.,S2-GAP-018;S2-GAP-031,True
RELA-018,"Commands, fixtures, oracles, CP-3",UNKNOWN_BLOCKING,Relationships Atlas 27-29,BN3A/BN3B list tests; candidate CP3,Exact relationship command and complete fixtures/oracles are missing.,S2-GAP-001;S2-GAP-018;S2-GAP-010,True
RELA-019,"Cleanup, rollback, evidence",DOCUMENTED_NOT_IMPLEMENTED,Relationships Atlas 26-29,successor plans; W1 rollback baseline,No relationship-specific executable cleanup/rollback/evidence capture exists.,S2-GAP-006;S2-GAP-007;S2-GAP-008,True
