field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
total_source_rows,total source rows,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,total_source_rows_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
unique_source_identities,unique source identities,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,unique_source_identities_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
authoritative_current_sources,authoritative current sources,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,authoritative_current_sources_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
historical_sources,historical sources,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,historical_sources_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
exact_duplicate_clusters,exact duplicate clusters,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,exact_duplicate_clusters_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
redundant_exact_duplicate_copies,redundant exact duplicate copies,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,redundant_exact_duplicate_copies_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
exact_duplicate_cluster_member_rows,exact duplicate cluster member rows,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,exact_duplicate_cluster_member_rows_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
semantic_duplicates,semantic duplicates,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,semantic_duplicates_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
format_counterparts,format counterparts,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,format_counterparts_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
unresolved_identity_collisions,unresolved identity collisions,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,unresolved_identity_collisions_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
missing_sources,missing sources,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,missing_sources_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
broken_references,broken references,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,broken_references_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
orphan_sources,orphan sources,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,orphan_sources_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
branch_only_candidates,branch only candidates,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,branch_only_candidates_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
superseded_sources,superseded sources,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,superseded_sources_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
founder_decisions_required,founder decisions required,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,founder_decisions_required_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
sources_safe_for_implementation_use,sources safe for implementation use,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,sources_safe_for_implementation_use_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
sources_not_safe_for_implementation_use,sources not safe for implementation use,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; enum and relationship checks where implemented,sources_not_safe_for_implementation_use_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
