dependency_id,dependency,type,status,effect
FAC-DEP-001,PIA Master Standard V1.1,CONTROLLING,SATISFIED_FOR_DRAFT,Keep 43 sections/traceability/status discipline
FAC-DEP-002,Ten-item portfolio realignment,PRECONDITION,SATISFIED,Gate validated and committed before Facility branch
FAC-DEP-003,Founder decisions FAC-FD-001 through FAC-FD-018,DECISION,SATISFIED_FOR_DESIGN_DOCTRINE,Enables fresh review and later Founder design-approval decision; no implementation authority
FAC-DEP-004,Fresh segregated review,ASSURANCE,OPEN,Required before Founder approval decision
FAC-DEP-005,Identity/Relationship/Authorization/Permission,CROSS_DOMAIN,SOURCE_AVAILABLE,Must remain authoritative owners
FAC-DEP-006,Privacy/Audit/Stewardship/Search,CROSS_DOMAIN,SOURCE_AVAILABLE,Shared controls inherited
FAC-DEP-007,Platform Operations/Resilience/Configuration/Security,CROSS_DOMAIN,SOURCE_AVAILABLE,Required for later operational gates
FAC-DEP-008,Implementation authorization,AUTHORITY,NOT_GRANTED,Blocks code/schema/migration work
FAC-DEP-009,As-built reconciliation and verification,EVIDENCE,NOT_STARTED,Blocks verified/operational status
FAC-DEP-010,Enrollment authorization,AUTHORITY,NOT_GRANTED,Blocks first user
FAC-DEP-011,FAC-FD-017 adaptive-onboarding refinement,FOUNDER_DOCTRINE,INCORPORATED,Requires individual-owner and structured paths without fictional topology
