item_id,requirement,status,governing_source,implementation_evidence,assessment,gap_ids,blocks_execution_readiness
IDEN-001,Governing canon and Founder decisions,SOURCE_SUPPORTED_NOT_EXECUTED,Identity Atlas 04,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md; final lock decision,Locked requirements are present; implementation proof remains separate.,S2-GAP-011,True
IDEN-002,Controlling Product Implementation Atlas,PARTIAL_DOCUMENTARY,Identity Atlas 01-33,docs/implementation/MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_V1_0.md; W1_RF01/*,PIA/implementation records exist beneath MIAP but are not an executable Atlas baseline.,S2-GAP-030,True
IDEN-003,Workflow identifier,PARTIAL_DOCUMENTARY,Identity Atlas 11,ATL-FND-IDENTITY; W1-RF01; RF2,Multiple planning identifiers exist; no single executable workflow contract binds all lifecycle paths.,S2-GAP-030,True
IDEN-004,"Entry point, modules, services, APIs",PARTIAL_IMPLEMENTATION,Identity Atlas 13-14,backend/server.py; backend/routes/auth.py; backend/core/auth.py; backend/auth_security.py,Current JWT/auth/recovery routes are identifiable but duplicated and incomplete.,S2-GAP-011;S2-GAP-012,True
IDEN-005,Data model,PARTIAL_IMPLEMENTATION,Identity Atlas 09,users; account_memberships; auth token helpers; W1_RF01_ACCOUNT_ACTOR_DATA_MODEL_MAP.md,Canonical identity/account/actor/principal separation is not implemented.,S2-GAP-011,True
IDEN-006,Authentication provider boundary,PARTIAL_DOCUMENTARY,Identity Atlas 24,MASTER_IDENTITY...; W1_RF01_IDENTITY_THREAT_MODEL.md,Local JWT implementation exists; external providers are illustrative and not authorized or selected.,S2-GAP-011,True
IDEN-007,Account creation and public signup,PARTIAL_IMPLEMENTATION,Identity Atlas 11,backend/routes/auth.py; frontend/src/pages/Signup.jsx,"Public signup exists, but role/review/authority separation and anti-abuse proof are incomplete.",S2-GAP-011;S2-GAP-012,True
IDEN-008,Actor creation,NOT_FOUND,Identity Atlas 09-14,W1_RF01 current-state/data-model records,No canonical actor-creation transaction or API was found.,S2-GAP-011,True
IDEN-009,Tenant creation,PARTIAL_IMPLEMENTATION,Identity Atlas 11,frontend/src/pages/Onboarding.jsx; existing barn creation paths,Facility/barn setup exists; canonical tenant identity and authority transaction are not mapped end to end.,S2-GAP-011;S2-GAP-013,True
IDEN-010,Enrollment and onboarding,PARTIAL_IMPLEMENTATION,Identity Atlas 11-12,frontend/src/pages/Enrollment.jsx; Onboarding.jsx; rf5_web_enrollment_account_health.py,UI and analytical paths exist; authoritative enrollment-to-permission transition is incomplete.,S2-GAP-011;S2-GAP-013,True
IDEN-011,Passkeys or WebAuthn,DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 18,W1_RF01_DEFERRED_SCOPE_REGISTER.md,Deferred; no provider-neutral implementation or executable tests found.,S2-GAP-011,True
IDEN-012,MFA,DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 18,W1_RF01_DEFERRED_SCOPE_REGISTER.md; ACCOUNT_RECOVERY_ASSESSMENT.md,MFA is explicitly deferred and absent from current assurance.,S2-GAP-011,True
IDEN-013,Step-up authentication,DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 16-18,Identity canon; W1_RF01 records,Required constitutionally for protected actions; no implemented step-up policy or tests found.,S2-GAP-011,True
