row_id,artifact_id,source_path_or_paths,issue_type,blocker_scope,feature_scope,must_fix_before_code_mutation,must_fix_before_runtime_mutation,must_fix_before_production,required_action,authority_boundary
AUTHBLOCK-00001,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00002,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00003,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00004,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00005,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00006,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00007,MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,records_audit_evidence,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00008,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,DOES_NOT_BLOCK_GLOBAL_READ_ONLY_COMPARISON,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00009,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,DOES_NOT_BLOCK_GLOBAL_READ_ONLY_COMPARISON,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00010,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00011,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00012,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00013,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00014,C0_023,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00015,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00016,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00017,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00018,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00019,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00020,C0_023,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,UNMAPPED_AUTHORITY_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00021,C0_023,docs/canon/adoptions/c0_023_privacy_v2_0/C0_023_LOCK_READINESS_PREPARATION.md,CANONICAL_SOURCE_CONFLICT_REQUIRES_REVIEW,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,privacy_security_resilience,YES,YES,YES,Resolve or explicitly pin canonical governance source before using this artifact for implementation comparison.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00022,C0_035,docs/canon/adoptions/c0_035_reporting_v2_0/C0_035_LOCK_READINESS_PREPARATION.md,CANONICAL_SOURCE_CONFLICT_REQUIRES_REVIEW,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,ai_analytics_reporting_search,YES,YES,YES,Resolve or explicitly pin canonical governance source before using this artifact for implementation comparison.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
