guide_id,version,status,effective_date,repository_path,package_id,checksum,approval_record,supersedes,superseded_by,compatibility_notes
ES-CG-00,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-00/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-01,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-01/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-13,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-13/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-10,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-10/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-02,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-02/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-03,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-03/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-04,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-04/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-05,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-05/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-06,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-06/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-07,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-07/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-08,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-08/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-09,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-09/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-11,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-11/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
ES-CG-12,0.0.0-placeholder,PLANNED,,governance/implementation/code-guides/guides/ES-CG-12/README.md,ES-CGP-001-SCAFFOLD-2026-07-26,,NOT_ADOPTED,,,Placeholder only; substantive versioning reserved for later prompts.
PROGRAM,0.2.0-foundation,REPOSITORY_ACCESSIONED,2026-07-26,governance/implementation/code-guides,ES-CGP-002-FOUNDATION-2026-07-26,SEE_CGP_002_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_002_REPOSITORY_INTEGRATION_RECEIPT.md,0.1.0,,CGP-002 shared foundation accepted and repository-integrated via PR #9 merge 87f9564e9b9eefb498916c619e90f515ba595fe5; no guide adoption or activation.
ES-CG-00,0.0.0-source-freeze-cgp005,SOURCE_FROZEN,2026-07-26,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26,SEE_CGP_005_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md,0.0.0-placeholder,,"Source-freeze version accepted and repository-accessioned as drafting prerequisite only; substantive guide version, adoption, activation, and implementation authority remain reserved for later prompts."
ES-CG-01,0.0.0-source-freeze-cgp005,SOURCE_FROZEN,2026-07-26,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26,SEE_CGP_005_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md,0.0.0-placeholder,,"Source-freeze version accepted and repository-accessioned as drafting prerequisite only; substantive guide version, adoption, activation, and implementation authority remain reserved for later prompts."
ES-CG-13,0.0.0-source-freeze-cgp005,SOURCE_FROZEN,2026-07-26,governance/implementation/code-guides/guides/ES-CG-13/source-freeze/ES-CG-13_SOURCE_FREEZE_MANIFEST.json,ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26,SEE_CGP_005_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md,0.0.0-placeholder,,"Source-freeze version accepted and repository-accessioned as drafting prerequisite only; substantive guide version, adoption, activation, and implementation authority remain reserved for later prompts."
ES-CG-10,0.0.0-source-freeze-cgp005,SOURCE_FROZEN,2026-07-26,governance/implementation/code-guides/guides/ES-CG-10/source-freeze/ES-CG-10_SOURCE_FREEZE_MANIFEST.json,ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26,SEE_CGP_005_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md,0.0.0-placeholder,,"Source-freeze version accepted and repository-accessioned as drafting prerequisite only; substantive guide version, adoption, activation, and implementation authority remain reserved for later prompts."
PROGRAM,0.5.0-wave-1-source-freeze,REPOSITORY_ACCESSIONED,2026-07-26,governance/implementation/code-guides/source-freeze,ES-CGP-005-WAVE-1-SOURCE-FREEZE-2026-07-26,SEE_CGP_005_SHA256SUMS,governance/implementation/code-guides/receipts/CGP_005_REPOSITORY_INTEGRATION_RECEIPT.md,0.4.0-current-state-assessment,,Program source-freeze package accepted and repository-integrated via PR #20 merge e5b5f6e091bf66a77963b6acaff45957ea4915b9; Wave 1 guides SOURCE_FROZEN only; no adoption or activation.
ES-CG-00,1.1.0,ADOPTED,2026-07-29,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ES-CG-00_V1_1_ADOPTION_CANDIDATE.md,CGP-006-WAVE-1-V1-1-GUIDE-COMPLETION-ADOPTION-CANDIDATE-PREPARATION,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md,0.0.0-source-freeze-cgp005,,Stage 22 documentary adoption of exact reviewed PR #54 V1.1 candidate bytes; Stage 23 protected accession pending custody; NOT_ACTIVE and no implementation authority.
ES-CG-01,1.1.0,ADOPTED,2026-07-29,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/ES-CG-01_V1_1_ADOPTION_CANDIDATE.md,CGP-006-WAVE-1-V1-1-GUIDE-COMPLETION-ADOPTION-CANDIDATE-PREPARATION,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md,0.0.0-source-freeze-cgp005,,Stage 22 documentary adoption of exact reviewed PR #54 V1.1 candidate bytes; Stage 23 protected accession pending custody; NOT_ACTIVE and no implementation authority.
