identifier,guide_identifier,status,current_blocking_status,founder_decision_requirement
CGP005-TA-APP-GAP-0001,ES-CG-00,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0001,ES-CG-01,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0001,ES-CG-13,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0001,ES-CG-10,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0002,ES-CG-00,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0002,ES-CG-01,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0002,ES-CG-13,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0002,ES-CG-10,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0003,ES-CG-00,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0003,ES-CG-01,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0003,ES-CG-13,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0003,ES-CG-10,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0004,ES-CG-00,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0004,ES-CG-01,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0004,ES-CG-13,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP005-TA-APP-GAP-0004,ES-CG-10,RETAINED_OPEN_GAP,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
