control_identifier,guide_identifier,review_classification,stable_identifier,clear_requirement_statement,candidate_status,normative_source_support_count,related_invariant,related_invariant_valid,exception_treatment,validation_method,warning_gap_linkage,founder_decision_required,implementation_status,revision_made,final_recommendation
ES-CG-00-CTRL-0001,ES-CG-00,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,29,ES-CG-00-INV-0001,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-CTRL-0002,ES-CG-00,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,29,ES-CG-00-INV-0002,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-CTRL-0003,ES-CG-00,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,29,ES-CG-00-INV-0003,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-CTRL-0004,ES-CG-00,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,29,ES-CG-00-INV-0004,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-CTRL-0005,ES-CG-00,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,29,ES-CG-00-INV-0005,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-CTRL-0001,ES-CG-01,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,34,ES-CG-01-INV-0001,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-CTRL-0002,ES-CG-01,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,34,ES-CG-01-INV-0002,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-CTRL-0003,ES-CG-01,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,34,ES-CG-01-INV-0003,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-CTRL-0004,ES-CG-01,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,34,ES-CG-01-INV-0004,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-CTRL-0005,ES-CG-01,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,34,ES-CG-01-INV-0005,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-CTRL-0001,ES-CG-13,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,45,ES-CG-13-INV-0001,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-CTRL-0002,ES-CG-13,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,45,ES-CG-13-INV-0002,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-CTRL-0003,ES-CG-13,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,45,ES-CG-13-INV-0003,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-CTRL-0004,ES-CG-13,ACCEPTABLE_CANDIDATE_CONTROL,YES,YES,CANDIDATE_ONLY,45,ES-CG-13-INV-0004,YES,NO_ACTIVE_EXCEPTION; CANDIDATE_EXCEPTION_REQUIRES_FOUNDER_REVIEW,validate_cgp006_wave1_candidate_drafting.requirement_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
