requirement_id,source_path,source_locator,fragment_text,quarantine_reason,v4_disposition
T1R2-REQ-0002,docs/API_CONTRACTS.md,line 24,"""message"": ""User lacks required permissions.""","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0003,docs/APP_STORE_PRODUCTION_READINESS.md,line 69,Native iOS project | Missing | No iOS/Xcode/Capacitor/Expo project found | Required before App Store build/submission.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0004,docs/APP_STORE_PRODUCTION_READINESS.md,line 70,Native Android project | Missing | No Android/Gradle/Capacitor/Expo project found | Required before Google Play build/submission.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0005,docs/APP_STORE_PRODUCTION_READINESS.md,line 71,"Store metadata | Missing | No metadata bundle found | App name, subtitle, description, category, support, privacy, terms, age rating, review info required.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0006,docs/APP_STORE_PRODUCTION_READINESS.md,line 72,"Privacy labels / Data safety | Missing | No completed worksheets found | Must reflect real collection, sharing, retention, local storage, providers, minors, billing, and security.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0007,docs/APP_STORE_PRODUCTION_READINESS.md,line 73,Support URL | Missing | No public support URL found | Required before submission.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0008,docs/APP_STORE_PRODUCTION_READINESS.md,line 74,Privacy policy URL | Missing | No public privacy-policy URL found | Required before submission.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0009,docs/APP_STORE_PRODUCTION_READINESS.md,line 75,Terms URL | Missing | No public terms URL found | Required before launch positioning.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0010,docs/APP_STORE_PRODUCTION_READINESS.md,line 78,Screenshots | Partial | UAT screenshots exist; no store screenshot set | Store screenshots and promotional assets required.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0011,docs/APP_STORE_PRODUCTION_READINESS.md,line 79,Review notes/accounts | Deferred | No review-account mutation allowed in BN18E | Later gate must create safe review access and route notes.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0012,docs/APP_STORE_PRODUCTION_READINESS.md,line 80,"Release ownership | Missing | No named owners found | Submission, support, monitoring, rollback, and rejection response owners required.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0013,docs/APP_STORE_PRODUCTION_READINESS.md,line 86,App name | Equine-Sync / EquineSync | Founder final required,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0014,docs/APP_STORE_PRODUCTION_READINESS.md,line 89,Category | Likely Business/Productivity; founder/legal must confirm | Missing,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0015,docs/APP_STORE_PRODUCTION_READINESS.md,line 97,Review/demo accounts | Not generated; BN18E cannot mutate UAT accounts | Missing,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0017,docs/APP_STORE_PRODUCTION_READINESS.md,line 137,Existing paid web subscribers using a future native app | No store-specific subscriber access wording found | Requires review notes and in-app copy that avoid prohibited purchase steering.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0025,docs/BN20_BN12_LAUNCH_CLOSURE.md,line 33,Provider claims | Claim-limited | Provider surfaces must not present as live unless the target environment is configured and verified.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0026,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,line 72,Approve Capacitor as the native shell strategy. | requires founder review | BN22A can prove shell readiness without committing to store submission timing.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0027,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,line 73,"Approve app identity values. | requires founder review | App name, bundle id, package id, display name, icon/splash direction, and native URL handling need explicit approval before submission.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0028,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,line 74,Approve native permission posture. | requires founder review | Permissions must match actual features and avoid over-broad mobile claims.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0029,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,line 75,Approve TestFlight/internal-test timing. | requires founder review | BN22A can produce readiness evidence; upload/submission remains a separate authorized action.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0030,docs/BUILD_NEXT_12_CURRENT_INPUTS_STATUS.md,line 18,Environment label | production-like hosted environment; founder must confirm whether this is official staging or production | needs founder label,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0032,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,line 32,`blocked` | Account cannot be used until a setup issue is fixed.,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0047,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 60,Workflow | Current source evidence | Current status | Required launch behavior | Pilot requirement | Public launch requirement | Data sensitivity | Needs IndexedDB | Needs Service Worker | Needs server idempotency,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0048,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 63,"Task complete | `taskSync` queue and backend `client_completion_id` | Implemented narrow | Queue, retry, duplicate prevention, visible pending state | Required proof | Required proof | Staff/facility | Yes | Optional for web online shell | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
