field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
role,role,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_role,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
accountable_function,accountable function,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_accountable_function,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
responsible_function,responsible function,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_responsible_function,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
consulted_function,consulted function,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_consulted_function,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
informed_function,informed function,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_informed_function,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
appointment_authority,appointment authority,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_appointment_authority,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
appointment_evidence,appointment evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_appointment_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
acceptance_evidence,acceptance evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_acceptance_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
effective_date,effective date,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_effective_date,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
deputy,deputy,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; non-empty unless explicitly allowed,example_deputy,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
