finding_id,severity,affected_documents,change_made,verification,final_disposition,traceability
FAC-FIND-P1-001,P1,PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md;DATA_DICTIONARY.md,Add the BarnOperationalContext definition and explicit anti-equivalence rules.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-001;FAC-REQ-001
FAC-FIND-P1-002,P1,WORKFLOW_REGISTER.md;PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv,"State non-authorizing effect at creation, update and consumption points.",SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-012;FAC-REQ-004
FAC-FIND-P1-003,P1,PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md;STATE_TRANSITION_MATRIX.csv,Add all-surface denial and an explicit narrow safety-evidence exception candidate.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-020;FAC-REQ-019
FAC-FIND-P1-004,P1,GOLDEN_PATHS.md;ADVERSARIAL_SCENARIOS.md,"Enumerate people, horses, permissions, agreements, billing, private records and evidence.",SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-008;FAC-REQ-010
FAC-FIND-P2-001,P2,API_EVENT_JOB_CONTRACTS.md;PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md,Prohibit consequential offline mutation and require online revalidation.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-019;FAC-REQ-020
FAC-FIND-P2-002,P2,DATA_DICTIONARY.md;GOLDEN_PATHS.md,Add a separate revocable projection and exact-layout/occupant exclusions.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-016;FAC-REQ-014
FAC-FIND-P2-003,P2,SOURCE_REGISTER.md,Record content/lifecycle separation and exact adoption evidence.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-SRC-008;FAC-SRC-010;FAC-SRC-012
FAC-FIND-P2-004,P2,DATA_DICTIONARY.md;INHERITANCE_AND_SHARED_CONTROL_REGISTER.md,Add verification assertion entity and no-authority effect.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-012;FAC-REQ-026
FAC-FIND-P2-005,P2,FOUNDER_DECISION_REGISTER.md;RISK_FINDING_DEVIATION_REGISTER.csv,No unsupported answer invented; item preserved as an explicit residual gate.,OPEN_AND_VISIBLE,OPEN_FOUNDER_DECISION,FAC-FD-022;FAC-RISK-008
FAC-FIND-P2-006,P2,AS_BUILT_RECONCILIATION.md,No unsupported answer invented; item preserved as an explicit residual gate.,OPEN_AND_VISIBLE,OPEN_IMPLEMENTATION_GAP,FAC-RISK-001;FAC-RISK-010
FAC-FIND-P3-001,P3,GOLDEN_PATHS.md;FOUNDER_DECISION_BRIEF.md,Add candidate minimum topology and state that it creates no authority.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-017;FAC-REQ-031
FAC-FIND-P3-002,P3,API_EVENT_JOB_CONTRACTS.md,"Add FAC-API, FAC-EVT and FAC-JOB identifiers.",SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-REQ-036
FAC-FIND-P3-003,P3,FOUNDER_REVIEW_PACKET.md;FOUNDER_DECISION_BRIEF.md,Repeat recommendation notice and unresolved status.,SECOND_PASS_CONFIRMED,RESOLVED_IN_REVISION,FAC-FD-028
