atlas,workflow,section_number,section,status,repository_traceability,command_complete,environment_complete,fixture_complete,oracle_complete,cp3_complete,rollback_complete,cleanup_complete,evidence_complete,mapped_requirement_count,blocking_gap
Identity,ATL-FND-IDENTITY,01,Document Control,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,02,Executive Summary,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,03,Domain Purpose,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,04,Canonical Authority,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,05,Source Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,06,Cross-Domain Contracts,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,07,Actors,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,08,Business Capabilities,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,09,Data Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,10,State Machines,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,11,Workflow Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,23,S2-GAP-030
Identity,ATL-FND-IDENTITY,12,Screen Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,13,Component Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,14,API Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,15,Event Catalog,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,16,Permission Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,17,Privacy,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,18,Security,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,19,Offline Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,20,Notification Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,21,Reporting Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,22,Search Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,23,AI Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,24,Integration Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,25,Infrastructure Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,26,Failure Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,27,Testing,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,28,Migration,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,29,Operational Readiness,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,30,Backlog,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,31,Risk Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,32,Release Readiness,INCOMPLETE_MULTIPLE_BLOCKERS,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Identity,ATL-FND-IDENTITY,33,Traceability Report,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,23,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,01,Document Control,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,02,Executive Summary,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,03,Domain Purpose,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,04,Canonical Authority,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,05,Source Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,06,Cross-Domain Contracts,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,07,Actors,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,08,Business Capabilities,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,09,Data Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,10,State Machines,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,11,Workflow Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,19,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,12,Screen Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,13,Component Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,14,API Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,15,Event Catalog,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,16,Permission Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,17,Privacy,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,18,Security,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,19,Offline Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,20,Notification Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,21,Reporting Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,22,Search Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,23,AI Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,24,Integration Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,25,Infrastructure Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,26,Failure Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,27,Testing,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
