artifact_type,role_id,path,sha256,status
input_manifest,ES-RA-02,packet_manifests/ES-RA-02_INPUT_MANIFEST.json,7eeb6c20f3b6c8ddd0c199beb81b6dd0dde0199e795fc608f1e803e316a5e444,FROZEN
input_manifest,ES-RA-03,packet_manifests/ES-RA-03_INPUT_MANIFEST.json,3bfe13ea8b3ba80ee8122d9416ef663121573a245d5cc193293bde0e9dd27470,FROZEN
input_manifest,ES-RA-04,packet_manifests/ES-RA-04_INPUT_MANIFEST.json,f1f9090506fee6bd1a11dc73943cd832d410403709b7c81495c7f26a66e1c340,FROZEN
input_manifest,ES-RA-05,packet_manifests/ES-RA-05_INPUT_MANIFEST.json,65468a47746fff613fefeadadf8a55da71d2d60bb50f6b07ee16db4b51dd2bc8,FROZEN
hidden_oracle,HOST,oracle/MODE_B_ATTEMPT_03_HIDDEN_DEFECT_ORACLE.csv,6451ffe911c607a6cef66ecc0604abfc965fb8ff33a78eb88db285ab2180ac51,FROZEN_NOT_ROLE_READABLE
preflight_output_probe,ES-RA-02,external-role-output/ASSIGNED_OUTPUT_WRITE_PROBE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,PREFLIGHT_ONLY
preflight_output_probe,ES-RA-03,external-role-output/ASSIGNED_OUTPUT_WRITE_PROBE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,PREFLIGHT_ONLY
preflight_output_probe,ES-RA-04,external-role-output/ASSIGNED_OUTPUT_WRITE_PROBE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,PREFLIGHT_ONLY
preflight_output_probe,ES-RA-05,external-role-output/ASSIGNED_OUTPUT_WRITE_PROBE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,PREFLIGHT_ONLY
substantive_role_output,ES-RA-02,none,,NOT_ATTEMPTED
substantive_role_output,ES-RA-03,none,,NOT_ATTEMPTED
substantive_role_output,ES-RA-04,none,,NOT_ATTEMPTED
substantive_role_output,ES-RA-05,none,,NOT_ATTEMPTED
