record_id,identifier,classification,verified_paths,verified_sha256,exact_c0_hash_match,note
C0-001,EQUINESYNC_FOUNDER_DECISION_REGISTER,EXACT_STANDALONE_SOURCE_BYTES_NOT_MOUNTED_OR_REPOSITORY_LINKED,,,FALSE,Founder-accepted substantive status is preserved. Exact standalone V1.1 Founder Decision Register bytes are not mounted or repository-linked; recover the source and do not reconstruct or redraft it.
C0-002,EQUINESYNC_CONSTITUTIONAL_CANON_INDEX_AND_NAVIGATOR,RELATED_ACTIVE_NAVIGATOR_VERIFIED,docs/canon/CANON_INDEX.md,b008e1b0b3205b327347cc93b9bc5162eb011e185b82b9aede5cfc84c36b9cd7,FALSE,"Active repository navigator exists, but it is not the exact reported V1.1 eight-artifact source."
C0-003,RF_AND_ATLAS_CONTROLLED_REVIEW_EVIDENCE,PARTIAL_OR_SUMMARY_EVIDENCE_ONLY,docs/RF29/RF29_FINAL_LOCK_REVIEW.md;docs/RF31/RF31_FINAL_FOUNDER_ACCEPTANCE_RECORD.md;docs/ATLAS4/ATLAS4_PHASE_COMPLETION_INDEX.md,34054198651c14488ed6a29c0fdc3ada98aeeb1e6e94f43a639840c6e25baa02;90f4f0dd126273240390851beacb2d3d1b82dcbd3e147752c90d343833979f8f;ad15051b055c1efee5eb94b615bf253510f9b19ae8fafc474565f389822a369a,FALSE,Substantial RF/ATLAS evidence exists; no single exact machine-readable all-program instrument was verified.
C0-004,MASTER_PRODUCT_VISION_V2_1,EXACT_FILE_LIBRARY_SOURCE_LOCATED_BYTES_NOT_MOUNTED,docs/canon/MASTER_PRODUCT_VISION.md,ba2bdedfbbd89889af02035656d2f738175dcbde3869084c5e0c92062644c469,FALSE,"C0 records the located Product Vision V2.1 successor candidate and its checksum. Its exact bytes still require mounting, verification, repository linkage, and lifecycle disposition; the current repository source is not asserted byte-identical."
C0-005,MASTER_ECOSYSTEM_MODEL_V2_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_ECOSYSTEM_MODEL.md,4344294c05b4b5483ff23497f198edb18e8bcb54d93410266791a57809107533,FALSE,C0 records an exact package source and checksum for Ecosystem V2.1. Repository linkage and lifecycle disposition remain unresolved; the current repository source is not asserted byte-identical.
C0-006,CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_0,EXACT_SOURCE_ABSENT,,,FALSE,Exact domain ownership and boundary register is not in the supplied packages or active repository.
C0-007,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1,EXACT_SOURCE_VERIFIED,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1.md,ee88f5e8ba3602ffecd3f15f5acc2d8881e58809645dac6d7038c3b1a4d0d0d0,TRUE,Exact Stage 0 package source and checksum verified; not adopted or locked.
C0-008,CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_0,EXACT_STANDALONE_SOURCE_BYTES_NOT_MOUNTED_OR_REPOSITORY_LINKED,,,FALSE,Founder-accepted substantive status is preserved. Exact standalone Cross-Canon Reference Normalization Register bytes are not mounted or repository-linked; recover the source and do not reconstruct or redraft it.
C0-009,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1,EXACT_SOURCE_VERIFIED,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.md,1b614fafa17f5841363646e72191883db2bc2b8c5a54a959a6a0bf0f77c018fa,TRUE,Exact Stage 0 package source and checksum verified; not adopted or locked.
C0-010,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1,EXACT_SOURCE_VERIFIED,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.md,94badc3b6eeae1dd1d96d8c577a187bbdfe696df4db35e573629581a7856904e,TRUE,Exact Stage 0 package source and checksum verified; not adopted or locked.
