freeze_record_id,source_id,guide_id,title,filename,repository_path,source_class,authority_status,inclusion_category,version,effective_date,approval_authority,approval_record_path,repository_commit,git_object_sha,git_object_type,sha256_checksum,checksum_verification_result,package_checksum,package_manifest_path,repository_integration_receipt,custody_status,predecessor,successor,supersession_status,conflict_status,reason_for_inclusion,authority_rationale,retained_limitations
CGP005-SF-ES-CG-01-0001,CGSRC-ARCH-0001,ES-CG-01,API_CONTRACTS.md,API_CONTRACTS.md,docs/API_CONTRACTS.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,a3009f0b4ecc27aa19219f00f42e5130ff4677da,BLOB,9b3ab185502813ac12d5f14bc0c22a08fca5a02ec182c8549e4891ee2a223f23,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0002,CGSRC-ARCH-0002,ES-CG-01,API_VERSIONING.md,API_VERSIONING.md,docs/API_VERSIONING.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,69b540aeb7d2adb3bd35a54c77e3ce3ed1a073e6,BLOB,9514986f575e9246deada22dbf25433d8b9e1421719a5626dbb645a71f287f91,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0003,CGSRC-ARCH-0003,ES-CG-01,ARCHITECTURE.md,ARCHITECTURE.md,docs/ARCHITECTURE.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,2275f837b166873539cca84af671bdbfd42fc430,BLOB,bc31ec7882aa7c6c2ba7b0a15abc0b10365ed410d18cd9f35ac3c89b0992741c,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0004,CGSRC-ARCH-0004,ES-CG-01,Audit Logging (Phase 5),AUDIT_LOGGING.md,docs/AUDIT_LOGGING.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,ba653eb822e2c391c2549b8e1d5697fab9c24464,BLOB,b0341f8b2494e72dcf6db2c1dfc900dd136266a188bfceaaa35021649ea75c37,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0005,CGSRC-ARCH-0005,ES-CG-01,Care Workflow Strengthening (Phase 6),CARE_WORKFLOW_STRENGTHENING.md,docs/CARE_WORKFLOW_STRENGTHENING.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,0a7e56f1c3a774aac48a647061791b2ef1d43a69,BLOB,ab9034a378db744ececec2c577b13045a7141a67dc57ddd0187b174de6e3e93d,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0006,CGSRC-ARCH-0006,ES-CG-01,DATA_MODEL.md,DATA_MODEL.md,docs/DATA_MODEL.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,88a603bdc1f922c6d9760b4250a9e24d9d44b5b2,BLOB,2e6c1a4ec0a0693474d622b3c82a3a1792fa303ad02cb9960e4011c29242c6d0,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0007,CGSRC-ARCH-0007,ES-CG-01,Field Reliability Offline Matrix,FIELD_RELIABILITY_OFFLINE_MATRIX.md,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,b044dc2d0ffabab6391e6ee2310657e987909130,BLOB,ce61a028ae65adffa1ad32653b32bd98a360537fcae61306e60bb7131b447180,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0008,CGSRC-ARCH-0008,ES-CG-01,INCIDENT_RESPONSE.md,INCIDENT_RESPONSE.md,docs/INCIDENT_RESPONSE.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,f5130213bc75f9e7a4de3f725b16d35aa333b869,BLOB,49f5fc4e7932b0f3b562c91303e31c248e26a7b2ffa1e2fff1e2facc6b298377,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0009,CGSRC-ARCH-0009,ES-CG-01,OBSERVABILITY.md,OBSERVABILITY.md,docs/OBSERVABILITY.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,30962086312da564d3a0df7dafd7056609d2e888,BLOB,063b8cdad20c20c4e8f5226ca319628d1024f0788c51ee0917812de31285cac2,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0010,CGSRC-ARCH-0010,ES-CG-01,Offline Implementation Plan,OFFLINE_IMPLEMENTATION_PLAN.md,docs/OFFLINE_IMPLEMENTATION_PLAN.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,a894b33e610e45416c813ff3df2f318c1c409b87,BLOB,394860ce01b4fdeb12dfdd121ff72d01bcbfeb551242d923c435cb4c6a1de8b5,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0011,CGSRC-ARCH-0011,ES-CG-01,Offline Security Model,OFFLINE_SECURITY_MODEL.md,docs/OFFLINE_SECURITY_MODEL.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,af2032bf029b67b42fce32ea64ea9ecd7fe69310,BLOB,cba05dc2ceb6afe4ce032ce3481e04478913a161719e041e42e1f3c770e2f6a3,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0012,CGSRC-ARCH-0012,ES-CG-01,"RF15 Offline, Lock-Screen, and Field Reliability",RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY.md,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,74ea4b8c231008df252ac1a6a78a5cabc0c280c5,BLOB,6c32e5532c289ea7bd35b2260cb0dd86c228e6b48b8c7e8c09d488175d554eb7,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0013,CGSRC-ARCH-0013,ES-CG-01,"RF15 Offline, Lock-Screen, and Field Reliability Plan",RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY_PLAN.md,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY_PLAN.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,39e617d69d226c2dd658a927d1b7cb41a43a3896,BLOB,8a125a62e2171063ba0da5e6e59a798cdea479741c675148e44b16434c24b3a3,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
CGP005-SF-ES-CG-01-0014,CGSRC-ARCH-0014,ES-CG-01,SCHEMA_CHANGE_POLICY.md,SCHEMA_CHANGE_POLICY.md,docs/SCHEMA_CHANGE_POLICY.md,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,,,Founder,,ff2748796bf858f49a3f85bad0578850e1deb846,cf718e41d8abc7e845c79e3b9eb42a20c6d6d88d,BLOB,8fd80a5feebfcc75b0de3ef274311f954282d228850f78a44af214e42a809761,VERIFIED_FILE,,,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,REPOSITORY_NATIVE,,,CURRENT,NO_KNOWN_BLOCKING_CONFLICT,Frozen as supporting context only; not elevated to controlling authority.,Supporting or historical context retained without creating binding Code Guide requirements.,"Product or implementation planning material; lower authority than adopted canon, PIA, and implementation-atlas adoption records unless separately approved."
