risk_id,guide_id,risk_category,risk_title,risk_statement,control_id,invariant_id,verification_method,evidence_requirement,owner_class,residual_risk_treatment,severity,open_finding_link
W1-V11-RISK-ES_CG_00-0001,ES-CG-00,authority misuse,Candidate Charter Authority Boundary misuse or overclaim,"A reviewer could overread ES-CG-00-CTRL-0001 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-00-CTRL-0001,ES-CG-00-INV-0001,W1-V11-VER-ES-CG-00-CTRL-0001,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_00-0002,ES-CG-00,precedence ambiguity,Candidate Program Scope Boundary misuse or overclaim,"A reviewer could overread ES-CG-00-CTRL-0002 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-00-CTRL-0002,ES-CG-00-INV-0002,W1-V11-VER-ES-CG-00-CTRL-0002,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_00-0003,ES-CG-00,control bypass,Candidate Lifecycle Separation misuse or overclaim,"A reviewer could overread ES-CG-00-CTRL-0003 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-00-CTRL-0003,ES-CG-00-INV-0003,W1-V11-VER-ES-CG-00-CTRL-0003,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_00-0004,ES-CG-00,evidence fabrication,Candidate Ownership And Custody misuse or overclaim,"A reviewer could overread ES-CG-00-CTRL-0004 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-00-CTRL-0004,ES-CG-00-INV-0004,W1-V11-VER-ES-CG-00-CTRL-0004,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_00-0005,ES-CG-00,validation gap,Candidate Non-Authorization Boundary misuse or overclaim,"A reviewer could overread ES-CG-00-CTRL-0005 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-00-CTRL-0005,ES-CG-00-INV-0005,W1-V11-VER-ES-CG-00-CTRL-0005,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_01-0001,ES-CG-01,false validation success,Candidate Authority Precedence misuse or overclaim,"A reviewer could overread ES-CG-01-CTRL-0001 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-01-CTRL-0001,ES-CG-01-INV-0001,W1-V11-VER-ES-CG-01-CTRL-0001,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_01-0002,ES-CG-01,silent validator skip,Candidate Founder Disposition misuse or overclaim,"A reviewer could overread ES-CG-01-CTRL-0002 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-01-CTRL-0002,ES-CG-01-INV-0002,W1-V11-VER-ES-CG-01-CTRL-0002,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_01-0003,ES-CG-01,incomplete implementation claim,Candidate Conflict Treatment misuse or overclaim,"A reviewer could overread ES-CG-01-CTRL-0003 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-01-CTRL-0003,ES-CG-01-INV-0003,W1-V11-VER-ES-CG-01-CTRL-0003,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_01-0004,ES-CG-01,incomplete completion claim,Candidate Supersession Treatment misuse or overclaim,"A reviewer could overread ES-CG-01-CTRL-0004 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-01-CTRL-0004,ES-CG-01-INV-0004,W1-V11-VER-ES-CG-01-CTRL-0004,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_01-0005,ES-CG-01,stale documentation,Candidate Exception Boundary misuse or overclaim,"A reviewer could overread ES-CG-01-CTRL-0005 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-01-CTRL-0005,ES-CG-01-INV-0005,W1-V11-VER-ES-CG-01-CTRL-0005,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
