entity,from_state,to_state,event,required_actor_and_evidence,fail_safe,redline_ids,status
RecoveryCase,NONE,OPENED,RECOVERY_CASE_OPENED,authenticated or claimed actor; tenant; channel; risk; correlation; policy version,No account or authority change,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
RecoveryCase,OPENED,EVIDENCE_PENDING,RECOVERY_EVIDENCE_REQUESTED,case actor; requested evidence classes; expiry; reviewer policy,Secrets prohibited from evidence,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
RecoveryCase,EVIDENCE_PENDING,MANUAL_REVIEW_REQUIRED,RECOVERY_ESCALATED,case actor; risk reasons; segregated evidence; reviewer assignment,High-risk action remains denied,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
RecoveryCase,EVIDENCE_PENDING,BOUNDED_ACCESS_RESTORED,RECOVERY_BOUNDED_RESTORE,approving actor; executing actor; evidence; outcome; policy version,Post-recovery restriction envelope mandatory,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
RecoveryCase,BOUNDED_ACCESS_RESTORED,STEP_UP_OR_REVIEW_COMPLETE,POST_RECOVERY_RESTRICTION_CLEARED,actor chain; fresh assurance; risk checks or review; exact policy,No relationship or grant restoration,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
RecoveryCase,ANY,REJECTED,RECOVERY_REJECTED,actor chain; reasons; evidence; policy version,Access and high-risk actions remain denied,CMT08-PR-002;CMT08-PR-008,PROPOSED_NOT_APPROVED
SupportAccessSession,NONE,REQUESTED,SUPPORT_ACCESS_REQUESTED,support actor; represented principal if applicable; case; purpose; tenant; requested scope,No access before approved activation,CMT08-PR-008;CMT08-PR-010,PROPOSED_NOT_APPROVED
SupportAccessSession,REQUESTED,ACTIVE,SUPPORT_ACCESS_ACTIVATED,approving and executing actors; scope; expiry; notice disposition; policy version,Bounded visible and case-linked only,CMT08-PR-008;CMT08-PR-010,PROPOSED_NOT_APPROVED
SupportAccessSession,ACTIVE,TERMINATED,SUPPORT_ACCESS_TERMINATED,actor; reason; exact time; decision correlation,Immediate cache and session invalidation,CMT08-PR-008;CMT08-PR-010,PROPOSED_NOT_APPROVED
SupportAccessSession,ACTIVE,EXPIRED,SUPPORT_ACCESS_EXPIRED,system actor with accountable human owner; policy and scheduled job version,No silent continuation,CMT08-PR-008;CMT08-PR-019,PROPOSED_NOT_APPROVED
OrganizationEnrollmentCase,NONE,STARTED,ORGANIZATION_ENROLLMENT_STARTED,actor; tenant context; claimed organization type; source channel,Claims remain provisional,CMT08-PR-006;CMT08-PR-008,PROPOSED_NOT_APPROVED
OrganizationEnrollmentCase,STARTED,CHECKS_PENDING,ORGANIZATION_ENROLLMENT_CHECKS_STARTED,actor; verification plan; abuse and duplicate signals; policy version,No tenant-owner authority,CMT08-PR-006;CMT08-PR-008,PROPOSED_NOT_APPROVED
OrganizationEnrollmentCase,CHECKS_PENDING,ACTIVATED,ORGANIZATION_ENROLLMENT_ACTIVATED,approving actor; Relationships Agreements and Authorization references; evidence,Only independently supported authority activates,CMT08-PR-006;CMT08-PR-008,PROPOSED_NOT_APPROVED
OrganizationEnrollmentCase,ANY,REJECTED,ORGANIZATION_ENROLLMENT_REJECTED,actor chain; reasons; evidence; notice disposition,No existence leakage,CMT08-PR-006;CMT08-PR-008,PROPOSED_NOT_APPROVED
ProtectedAccountTransitionCase,NONE,SCHEDULED,PROTECTED_TRANSITION_SCHEDULED,identity; jurisdiction-policy version; transition date; notices,No authority change before governed transition,CMT08-PR-001;CMT08-PR-007;CMT08-PR-008,PROPOSED_NOT_APPROVED
ProtectedAccountTransitionCase,SCHEDULED,PAUSED_REVIEW,PROTECTED_TRANSITION_PAUSED,reason; evidence; hold owner; reviewer; policy version,Elapsed time cannot complete or narrow hold,CMT08-PR-001;CMT08-PR-007;CMT08-PR-008,PROPOSED_NOT_APPROVED
ProtectedAccountTransitionCase,PAUSED_REVIEW,COMPLETED,PROTECTED_TRANSITION_COMPLETED,reviewer; authority basis; credential checks; downstream effects,Guardian access requires current independent basis,CMT08-PR-001;CMT08-PR-007;CMT08-PR-008,PROPOSED_NOT_APPROVED
IdentityMergeCase,NONE,SUGGESTED,IDENTITY_MERGE_SUGGESTED,source candidates; evidence; conflicts; provenance,No automatic merge,CMT08-PR-004;CMT08-PR-008,PROPOSED_NOT_APPROVED
IdentityMergeCase,SUGGESTED,REVIEWED,IDENTITY_MERGE_REVIEWED,reviewer; authority; downstream relationship and permission analysis,Preserve both candidates until decision,CMT08-PR-004;CMT08-PR-008,PROPOSED_NOT_APPROVED
IdentityMergeCase,REVIEWED,SUPERSEDED,IDENTITY_MERGE_APPLIED,approving and executing actors; reversible mappings; prior and new versions,No automatic relationship or permission merge,CMT08-PR-004;CMT08-PR-008,PROPOSED_NOT_APPROVED
IdentityMergeCase,SUPERSEDED,REVERSED,IDENTITY_MERGE_REVERSED,challenge; reviewer; correction; affected records; evidence,History and downstream effects preserved,CMT08-PR-004;CMT08-PR-008,PROPOSED_NOT_APPROVED
Invitation,NONE,ISSUED,INVITATION_ISSUED,issuer; recipient binding where feasible; purpose; expiry; assurance; policy,Creates no authority,CMT08-PR-003;CMT08-PR-008,PROPOSED_NOT_APPROVED
Invitation,ISSUED,ACCEPTED_CONSUMED,INVITATION_ACCEPTED,recipient actor; authentication; checks; exact token reference; correlation,Single-use terminal consumption and audit required,CMT08-PR-003;CMT08-PR-008;CMT08-PR-009,PROPOSED_NOT_APPROVED
Invitation,ISSUED,REVOKED,INVITATION_REVOKED,revoking actor; reason; policy; time,Acceptance denied,CMT08-PR-003;CMT08-PR-008,PROPOSED_NOT_APPROVED
Invitation,ISSUED,EXPIRED,INVITATION_EXPIRED,system actor with accountable human owner; policy version; time,Acceptance denied,CMT08-PR-003;CMT08-PR-008;CMT08-PR-019,PROPOSED_NOT_APPROVED
Credential,ACTIVE,REVOKED,CREDENTIAL_REVOKED,actor; reason; affected sessions; policy version,Applicable sessions invalidated,CMT08-PR-008,PROPOSED_NOT_APPROVED
AssuranceContext,ACTIVE,STALE,ASSURANCE_EXPIRED,session; purpose; policy; expiry,High-risk action denied until fresh step-up,CMT08-PR-002;CMT08-PR-008;CMT08-PR-010,PROPOSED_NOT_APPROVED
