review_id,guide_identifier,section_number,section_name,review_status,source_support_result,clarity_result,authority_boundary_result,revision_required,founder_decision_required,notes
ES-CG-00-SECTION-REVIEW-0001,ES-CG-00,1,Document Identity,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0002,ES-CG-00,2,Guide Identifier,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0003,ES-CG-00,3,Candidate Version,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0004,ES-CG-00,4,Lifecycle And Authority Status,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0005,ES-CG-00,5,Purpose,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0006,ES-CG-00,6,Scope,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0007,ES-CG-00,7,Out-Of-Scope Matters,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0008,ES-CG-00,8,Authority Basis,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0009,ES-CG-00,9,Relationship To CGP-005,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0010,ES-CG-00,10,Relationship To CGP-006,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0011,ES-CG-00,11,Dependency Position,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0012,ES-CG-00,12,Inherited Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0013,ES-CG-00,13,Guide-Specific Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0014,ES-CG-00,14,"Affected Actors, Records, Or Systems",ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0015,ES-CG-00,15,Candidate Principles,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0016,ES-CG-00,16,Candidate Controls,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0017,ES-CG-00,17,Candidate Invariants,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0018,ES-CG-00,18,Mandatory-Question Answers,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0019,ES-CG-00,19,Candidate Exceptions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0020,ES-CG-00,20,Prohibited Interpretations,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0021,ES-CG-00,21,Risks,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0022,ES-CG-00,22,Failure Modes,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0023,ES-CG-00,23,Retained Warnings,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0024,ES-CG-00,24,Retained Gaps,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0025,ES-CG-00,25,Unresolved Questions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0026,ES-CG-00,26,Founder Decisions Required,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0027,ES-CG-00,27,Normative-Source Traceability,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0028,ES-CG-00,28,Contextual-Source Influence,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0029,ES-CG-00,29,Reference-Corpus Usage,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0030,ES-CG-00,30,Cross-Guide Dependencies,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0031,ES-CG-00,31,Validation Criteria,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0032,ES-CG-00,32,Adoption Prerequisites,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0033,ES-CG-00,33,Activation Prerequisites,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0034,ES-CG-00,34,Implementation Boundary,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0035,ES-CG-00,35,Change-Control Requirements,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-00-SECTION-REVIEW-0036,ES-CG-00,36,Version History,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0001,ES-CG-01,1,Document Identity,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0002,ES-CG-01,2,Guide Identifier,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0003,ES-CG-01,3,Candidate Version,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0004,ES-CG-01,4,Lifecycle And Authority Status,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0005,ES-CG-01,5,Purpose,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0006,ES-CG-01,6,Scope,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0007,ES-CG-01,7,Out-Of-Scope Matters,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0008,ES-CG-01,8,Authority Basis,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0009,ES-CG-01,9,Relationship To CGP-005,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0010,ES-CG-01,10,Relationship To CGP-006,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0011,ES-CG-01,11,Dependency Position,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0012,ES-CG-01,12,Inherited Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0013,ES-CG-01,13,Guide-Specific Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0014,ES-CG-01,14,"Affected Actors, Records, Or Systems",ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0015,ES-CG-01,15,Candidate Principles,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0016,ES-CG-01,16,Candidate Controls,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0017,ES-CG-01,17,Candidate Invariants,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0018,ES-CG-01,18,Mandatory-Question Answers,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0019,ES-CG-01,19,Candidate Exceptions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0020,ES-CG-01,20,Prohibited Interpretations,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0021,ES-CG-01,21,Risks,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0022,ES-CG-01,22,Failure Modes,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0023,ES-CG-01,23,Retained Warnings,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0024,ES-CG-01,24,Retained Gaps,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0025,ES-CG-01,25,Unresolved Questions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0026,ES-CG-01,26,Founder Decisions Required,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0027,ES-CG-01,27,Normative-Source Traceability,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0028,ES-CG-01,28,Contextual-Source Influence,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0029,ES-CG-01,29,Reference-Corpus Usage,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0030,ES-CG-01,30,Cross-Guide Dependencies,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0031,ES-CG-01,31,Validation Criteria,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0032,ES-CG-01,32,Adoption Prerequisites,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0033,ES-CG-01,33,Activation Prerequisites,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
