alignment_id,component_id,repository_component,repository_path,authority_source_ids,applicable_guides,authority_alignment,evidence_basis,classification_rationale,required_next_action,confidence,status,notes
CGP004-ALIGN-0001,CGP004-COMP-0001,Backend FastAPI application assembly,backend/server.py,CGSRC-REPO-0621,ES-CG-00;ES-CG-01;ES-CG-02;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,"FastAPI application factory imports API routers, request context, security headers, lifecycle hooks, and health endpoints.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,"Current routing topology is implementation evidence, not guide authority."
CGP004-ALIGN-0002,CGP004-COMP-0002,Backend configuration and database binding,backend/core/config.py;backend/core/db.py,CGSRC-REPO-0621,ES-CG-02;ES-CG-03;ES-CG-10;ES-CG-11;ES-CG-13,PARTIALLY_ALIGNED,"Settings validation requires MONGO_URL and DB_NAME, tightens production JWT and CORS behavior, and creates the Motor client from configuration.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,"Operational runbook, rotation, and restore authority remain downstream gaps."
CGP004-ALIGN-0003,CGP004-COMP-0003,Authentication and account session surface,backend/core/auth.py;backend/routes/auth.py,CGSRC-REPO-0621;CGSRC-PIA-0001;CGSRC-PIA-0003,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,PARTIALLY_ALIGNED,"JWT validation, bcrypt password handling, refresh support, suspension checks, email verification gates, and server-side barn resolution are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Exact offline and stale-token behavior is not resolved by CGP-004.
CGP004-ALIGN-0004,CGP004-COMP-0004,Tenancy and permission helpers,backend/core/tenancy.py;backend/core/permissions.py,CGSRC-REPO-0621;CGSRC-PIA-0002;CGSRC-PIA-0003,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,PARTIALLY_ALIGNED,"Barn scoping helpers, account barn filters, active facility checks, optional auth gating, platform-role separation, and fail-closed unknown capabilities are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Support/admin operational ownership and review cadence need later authority.
CGP004-ALIGN-0005,CGP004-COMP-0005,Horse profile and lifecycle routes,backend/routes/horses.py,CGSRC-REPO-0621;CGSRC-PIA-0004,ES-CG-04;ES-CG-08;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,Horse list/get/create/update paths apply barn or provider-grant scoping and block barn_id moves through patch behavior.,CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Guide-specific control mapping remains absent.
CGP004-ALIGN-0006,CGP004-COMP-0006,Care operations routes,backend/routes/care.py,CGSRC-REPO-0621;CGSRC-PIA-0007,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,PARTIALLY_ALIGNED,"Care records scope by barn or provider grant, validate referenced horse access, and include idempotency hints for medication/feed completion flows.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Veterinary/medical boundary wording must be set by later guide controls.
CGP004-ALIGN-0007,CGP004-COMP-0007,"Lessons, training, messages, service requests, and incidents",backend/routes/operations.py,CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,"Operations routes cover lesson, training, message, service-request, incident, and minor-communication guard behaviors with scoped access checks.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Messaging/community activation remains unauthorized.
CGP004-ALIGN-0008,CGP004-COMP-0008,"Task materialization, events, notifications, and digests",backend/task_engine.py;backend/notifications.py;backend/core/lifespan.py,CGSRC-REPO-0621;CGSRC-PIA-0006;CGSRC-EXT-0005,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,PARTIALLY_ALIGNED,"Task templates, task completions, task events, notification dispatcher, retries, indexes, optional background loops, and startup materialization hooks are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,"Operational ownership, recovery behavior, and external-standard adoption remain open."
CGP004-ALIGN-0009,CGP004-COMP-0009,"Subscription, billing, payment, and webhook surfaces",backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/membership.py,CGSRC-REPO-0621;CGSRC-PIA-0009,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,PARTIALLY_ALIGNED,"Stripe checkout, allowed-origin checks, production webhook signature requirement, idempotency states, retry/stale-lock handling, and legacy membership 410 treatment are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Financial activation remains unauthorized; provider live behavior not executed in CGP-004.
CGP004-ALIGN-0010,CGP004-COMP-0010,Minor safety and guarded communication helpers,backend/core/minor_safety.py;backend/core/minor_communication.py,CGSRC-REPO-0621;CGSRC-PIA-0008,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,"Pure helper logic covers age checks, guardian-link treatment, minor communication blocking, and conservative unknown-age handling.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Substantive safety controls remain reserved for guide drafting.
