permitted_starting_state,permitted_next_state,permitted,required_authority,required_evidence,prohibited_transitions,reversal_rules,suspension_rules,supersession_rules,reactivation_rules,archival_rules,lifecycle_rule_class_id
CANDIDATE,CANDIDATE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_CANDIDATE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,DRAFT_UNMERGED,YES,DOCUMENTARY_DRAFTING_OR_REVIEW_AUTHORITY,DRAFT_OR_REVIEW_PACKAGE_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,RETURN_TO_REMEDIATION_OR_REJECTION_REQUIRES_REVIEW_DISPOSITION,NOT_ACTIVE_STATE_HAS_NO_SUSPENSION_EFFECT,SUCCESSOR_PACKAGE_OR_DOCUMENTED_BASIS_REQUIRED,NOT_APPLICABLE_UNTIL_ACTIVE_STATE,RETAIN_PREDECESSOR_AS_HISTORICAL_RECORD,RULE_CLASS_FORWARD_DRAFTING
CANDIDATE,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_FOUNDER_REVIEW_READY,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,REMEDIATION_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_REMEDIATION_REQUIRED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,REJECTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_REJECTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,ADOPTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_ADOPTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,LOCKED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_LOCKED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,ACCESSIONED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_ACCESSIONED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,ACTIVE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_ACTIVE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,SUSPENDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_SUSPENDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
