id,event
SHELL-EVENT-001,shell.bootstrap.completed
SHELL-EVENT-002,shell.bootstrap.failed
SHELL-EVENT-003,shell.context.changed
SHELL-EVENT-004,shell.route.denied
SHELL-EVENT-005,shell.deep_link.denied
SHELL-EVENT-006,search.privileged.executed
SHELL-EVENT-007,search.abuse.detected
SHELL-EVENT-008,search.index.invalidated
SHELL-EVENT-009,command.executed
SHELL-EVENT-010,command.denied
SHELL-EVENT-011,quick_action.reconciled
SHELL-EVENT-012,shell.preference.changed
SHELL-EVENT-013,shell.recent.suppressed
SHELL-EVENT-014,shell.offline.entered
SHELL-EVENT-015,shell.offline.reconciled
SHELL-EVENT-016,support.session.started
SHELL-EVENT-017,support.session.ended
SHELL-EVENT-018,shell.configuration.published
SHELL-EVENT-019,shell.rollout.stopped
SHELL-EVENT-020,shell.route.decommissioned
