feature_id,feature_name,product_domain,expected_code_guide,existing_code_guide_should_be_amended,new_code_guide_required,possible_reclassification,verification_blocked_by_missing_guide,risk_severity,recommended_owner,founder_decision_required,notes
ES-FEAT-RELATIONSHIP-002,trainer-client relationships,Relationships and guardianship,ES-CG-01,YES,NO,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; ES-CG-01 requires authentication or drafting authority before use.
ES-FEAT-FACILITY-011,maintenance,"Facility, barn, business, and physical operations",ES-CG-07,YES,NO,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,MEDIUM,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; ES-CG-07 requires authentication or drafting authority before use.
ES-FEAT-LESSONS-007,trainer programs,"Lessons, training, riders, and guardians",ES-CG-13,YES,NO,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; ES-CG-13 requires authentication or drafting authority before use.
ES-FEAT-LESSONS-008,horse-training sessions,"Lessons, training, riders, and guardians",ES-CG-13,YES,NO,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; ES-CG-13 requires authentication or drafting authority before use.
ES-FEAT-TASKS-005,claims,"Tasks, calendar, scheduling, and notifications",ES-CG-10,YES,NO,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,MEDIUM,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; ES-CG-10 requires authentication or drafting authority before use.
ES-FEAT-DOCUMENTS-002,waivers,"Documents, agreements, and electronic signatures",DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,MEDIUM,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE requires authentication or drafting authority before use.
ES-FEAT-FINANCIAL-012,failed payments,Financial operations,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE requires authentication or drafting authority before use.
ES-FEAT-INVENTORY-013,AI-assisted identification,Inventory and assets,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE requires authentication or drafting authority before use.
ES-FEAT-MEDIA-008,thumbnails,"Media, files, and digital assets",DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,MEDIUM,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE requires authentication or drafting authority before use.
ES-FEAT-AI-001,AI assistant,Artificial intelligence,DOC-CG-AI-MODEL-GOVERNANCE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-AI-MODEL-GOVERNANCE requires authentication or drafting authority before use.
ES-FEAT-AI-002,inventory recognition,Artificial intelligence,DOC-CG-AI-MODEL-GOVERNANCE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-AI-MODEL-GOVERNANCE requires authentication or drafting authority before use.
ES-FEAT-AI-003,summaries,Artificial intelligence,DOC-CG-AI-MODEL-GOVERNANCE,NO,YES,RETAIN_CODE_GUIDE_GAP_UNLESS_ARCHITECTURE_OR_OPERATING_STANDARD_OWNER_RECLASSIFIES,YES,HIGH,ARCHITECTURE,PENDING,Expected guide reassigned from placeholder after review finding; DOC-CG-AI-MODEL-GOVERNANCE requires authentication or drafting authority before use.
