requirement_id,statement,source_or_decision,rationale,performer,preconditions,required_behavior,prohibited_behavior,failure_behavior,data_impact,permission_impact,release_classification,acceptance_criterion,test_case,evidence,status
FAC-REQ-001,"The system SHALL represent Tenant, Facility, Organization, Barn and Facility Area with distinct identifiers and meanings.",FAC-SRC-007;FAC-SRC-009;FAC-SRC-011;FAC-FD-001,"Preserve domain boundaries, safety, privacy, integrity and testability.",Topology service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"The system represent Tenant, Facility, Organization, Barn and Facility Area with distinct identifiers and meanings.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No identifier alias may grant authority.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-001,FAC-TEST-001,FAC-EVID-001,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-002,Every protected record SHALL carry an explicit Tenant context or a documented global classification.,FAC-SRC-015;FAC-SRC-019,"Preserve domain boundaries, safety, privacy, integrity and testability.",Persistence boundary,Valid explicit context and action-specific authority unless the requirement states otherwise.,Every protected record carry an explicit Tenant context or a documented global classification.,"Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Missing context fails closed; legacy records enter quarantine.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-002,FAC-TEST-002,FAC-EVID-002,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-003,"A Facility SHALL retain stable identity and lineage through rename, address correction, sale, lease, operator change, closure and decommissioning.",FAC-SRC-007,"Preserve domain boundaries, safety, privacy, integrity and testability.",Facility domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"A Facility retain stable identity and lineage through rename, address correction, sale, lease, operator change, closure and decommissioning.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Mutation may append history but not replace evidence.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-003,FAC-TEST-003,FAC-EVID-003,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-004,"Organization-to-Tenant and Organization-to-Facility associations SHALL be typed, time-bound, sourced and non-authorizing.",FAC-SRC-011;FAC-SRC-014;FAC-SRC-017,"Preserve domain boundaries, safety, privacy, integrity and testability.",Relationship domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Organization-to-Tenant and Organization-to-Facility associations be typed, time-bound, sourced and non-authorizing.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Association alone never permits action.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-004,FAC-TEST-004,FAC-EVID-004,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-005,"The system SHALL resolve authorization using actor, tenant, target, facility, organization, purpose, time and current relationship evidence.",FAC-SRC-013;FAC-SRC-015;FAC-SRC-017,"Preserve domain boundaries, safety, privacy, integrity and testability.",Authorization service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"The system resolve authorization using actor, tenant, target, facility, organization, purpose, time and current relationship evidence.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Default deny and generic failure.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-005,FAC-TEST-005,FAC-EVID-005,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-006,"The active context SHALL be explicit, visible and revalidated for every consequential request.",FAC-SRC-015;FAC-FD-009,"Preserve domain boundaries, safety, privacy, integrity and testability.",Context service and UI,Valid explicit context and action-specific authority unless the requirement states otherwise.,"The active context be explicit, visible and revalidated for every consequential request.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Stale or unauthorized context returns a non-enumerating denial.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-006,FAC-TEST-006,FAC-EVID-006,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-007,"Context switching SHALL NOT silently transfer ownership, relationship, permission, agreement, billing or record visibility.",FAC-SRC-014;FAC-SRC-015;FAC-SRC-017,"Preserve domain boundaries, safety, privacy, integrity and testability.",Context service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Context switching NOT silently transfer ownership, relationship, permission, agreement, billing or record visibility.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No cascading side effect.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-007,FAC-TEST-007,FAC-EVID-007,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-008,Facility Area hierarchy SHALL reject cycles and preserve parent history across moves.,FAC-SRC-007,"Preserve domain boundaries, safety, privacy, integrity and testability.",Topology service,Valid explicit context and action-specific authority unless the requirement states otherwise.,Facility Area hierarchy reject cycles and preserve parent history across moves.,"Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Invalid moves fail atomically and are audited.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-008,FAC-TEST-008,FAC-EVID-008,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-009,"Transfer, merge, split and successor operations SHALL use reviewed change sets with before/after evidence and non-cascade declarations.",FAC-SRC-007;FAC-SRC-011;FAC-SRC-020,"Preserve domain boundaries, safety, privacy, integrity and testability.",Topology service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Transfer, merge, split and successor operations use reviewed change sets with before/after evidence and non-cascade declarations.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Partial operations reconcile or roll back visibly.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-009,FAC-TEST-009,FAC-EVID-009,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-010,"No topology operation SHALL infer horse ownership, custody, clinical authority, payment authority or record stewardship.",FAC-SRC-017;FAC-SRC-023;FAC-SRC-024;FAC-SRC-025,"Preserve domain boundaries, safety, privacy, integrity and testability.",All consumers,Valid explicit context and action-specific authority unless the requirement states otherwise.,"No topology operation infer horse ownership, custody, clinical authority, payment authority or record stewardship.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Dependent domains recalculate from their owners.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-010,FAC-TEST-010,FAC-EVID-010,DRAFT_PENDING_FOUNDER_DECISIONS
