artifact_id,title,artifact_class,lifecycle_state,authority_state,source_id,notes
PIA-01,"Identity, Account, Actor, and Onboarding",PIA_POSITION,UNDERLYING_ITEM_01_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-02,"Facility, Tenant, and Organizational Structure",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-03,"Relationship, Authorization, and Permission",PIA_POSITION,UNDERLYING_COMPONENT_A_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-04,"Horse Identity, Profile, and Lifecycle",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-05,"Core Navigation, Search, and Application Shell",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-06,"Task, Calendar, Scheduling, and Notification",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-07,Care Operations,PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-08,"Lessons, Training, Rider, and Guardian",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-09,"Billing, Payments, and Financial Operations",PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
PIA-10,Owner Portal and Communications,PIA_POSITION,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,NO_IMPLEMENTATION_AUTHORITY,SRC-PIA-REALIGNMENT-REGISTER,Ten-item portfolio position; this package does not approve or amend.
