guide_id,guide_title,wave,tracker_maturity_state,tracker_adoption_state,tracker_activation_state,tracker_accession_state,tracker_work_status,v1_1_reconciliation_status,required_action
ES-CG-00,Code Guide Charter,1,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,SOURCE_FROZEN,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-01,Engineering Authority and Precedence,1,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,SOURCE_FROZEN,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-13,"Completion, Evidence, and Traceability",1,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,SOURCE_FROZEN,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-10,"Testing, Verification, and Assurance",1,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,SOURCE_FROZEN,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-02,Architecture and Module Boundaries,2,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-03,"Identity, Tenancy, and Authorization",2,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-04,"Data, State, and Migrations",2,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-05,"Offline, Synchronization, and Conflicts",3,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-06,"APIs, Events, and External Adapters",3,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-07,"Web, Mobile, Accessibility, and Human Factors",3,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-08,Domain Engineering Standards,4,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-09,"Safeguarding, Privacy, Security, and AI",4,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-11,"Observability, Reliability, Support, and Operations",5,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
ES-CG-12,"Delivery, Release, Deployment, and Activation",5,PLANNED,NOT_ADOPTED,NOT_ACTIVE,NOT_ACCESSIONED,NOT_STARTED,NOT_V1_1_DISPOSITIONED_OR_ACCESSIONED,"Reconcile to V1.1 lifecycle, evidence, reviews, mapping, and custody gates under separate authority."
