record_id,control_or_invariant_id,record_type,guide,intended_governance_outcome,required_evidence_class,abstract_evidence_obligation,accountable_role,proposed_verification_method,activation_relevance,warning_relevance,gap0004_relevance,future_authority_dependency
CGP006-W1-ACT-XW-ES-CG-00-CTRL-0001,ES-CG-00-CTRL-0001,CONTROL,ES-CG-00,"Activated reliance, if later approved, preserves Candidate Charter Authority Boundary as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Code Guide custodian,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-00-CTRL-0002,ES-CG-00-CTRL-0002,CONTROL,ES-CG-00,"Activated reliance, if later approved, preserves Candidate Program Scope Boundary as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Code Guide custodian,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-00-CTRL-0003,ES-CG-00-CTRL-0003,CONTROL,ES-CG-00,"Activated reliance, if later approved, preserves Candidate Lifecycle Separation as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Code Guide custodian,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-00-CTRL-0004,ES-CG-00-CTRL-0004,CONTROL,ES-CG-00,"Activated reliance, if later approved, preserves Candidate Ownership And Custody as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Code Guide custodian,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-00-CTRL-0005,ES-CG-00-CTRL-0005,CONTROL,ES-CG-00,"Activated reliance, if later approved, preserves Candidate Non-Authorization Boundary as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Code Guide custodian,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-01-CTRL-0001,ES-CG-01-CTRL-0001,CONTROL,ES-CG-01,"Activated reliance, if later approved, preserves Candidate Authority Precedence as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Engineering authority reviewer,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-01-CTRL-0002,ES-CG-01-CTRL-0002,CONTROL,ES-CG-01,"Activated reliance, if later approved, preserves Candidate Founder Disposition as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Engineering authority reviewer,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-01-CTRL-0003,ES-CG-01-CTRL-0003,CONTROL,ES-CG-01,"Activated reliance, if later approved, preserves Candidate Conflict Treatment as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Engineering authority reviewer,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-01-CTRL-0004,ES-CG-01-CTRL-0004,CONTROL,ES-CG-01,"Activated reliance, if later approved, preserves Candidate Supersession Treatment as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Engineering authority reviewer,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
CGP006-W1-ACT-XW-ES-CG-01-CTRL-0005,ES-CG-01-CTRL-0005,CONTROL,ES-CG-01,"Activated reliance, if later approved, preserves Candidate Exception Boundary as a governance obligation without technical mapping.",GOVERNANCE_ACCOUNTABILITY_RECORD;EVIDENCE_CUSTODY_RECORD;FUTURE_IMPLEMENTATION_OR_RUNTIME_EVIDENCE_IF_SCOPE_REQUIRES,"Maintain documentary proof that the control remains within approved activation scope, is reviewed by named governance actors, and is not treated as implemented without future evidence.",Engineering authority reviewer,"Review package records, future activation directive, warning carry-forward record, GAP-0004 plan, and future authorized evidence without naming technical objects.",REQUIRED_FOR_ACTIVATION_SCOPE_DEFINITION,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY
