evidence_id,action_or_decision,required_fields,source_ids,retention_owner,privacy_rule,requirement_ids,status
RAP-EVD-001,Relationship assertion,"record ID/version; parties; type; source; scope; purpose; actor; tenant; effective/recorded time; correlation","RAP-SRC-002;RAP-SRC-011",Item 03 and Records,"Minimum necessary; protected-party projection","RAP-REQ-002;RAP-REQ-003;RAP-REQ-027",DOCUMENTED
RAP-EVD-002,Relationship verification,"assessment ID/version; verifier; evidence refs/digests; purpose; outcome; reasons; expiry; restrictions","RAP-SRC-002;RAP-SRC-011",Item 03 and Records,"Do not expose verification evidence through status alone","RAP-REQ-002;RAP-REQ-027",DOCUMENTED
RAP-EVD-003,Representation creation/acceptance,"principal chain; basis; source versions; actors; acceptance; scope; purpose; dates; restrictions; correlation","RAP-SRC-002;RAP-SRC-004",Item 03 and Records,"Purpose-bound principal/actor visibility","RAP-REQ-004;RAP-REQ-027",DOCUMENTED
RAP-EVD-004,Guardian/minor authority change,"guardian/participant references; basis; agreements; safeguarding restrictions; actors; outcome; notice; versions","RAP-SRC-004;RAP-SRC-011",Item 03 with Safeguarding/Records,"Heightened protection; minimum disclosure","RAP-REQ-005;RAP-REQ-028",PREDECESSOR_QUALIFIED
RAP-EVD-005,Delegation proposal/acceptance,"grant/source IDs/versions; delegator/delegate; acceptance; scope; purpose; start/expiry; restrictions; chain; correlation","RAP-SRC-002;RAP-SRC-003",Item 03 and Records,"Do not expose sensitive relationship chain unnecessarily","RAP-REQ-006;RAP-REQ-007;RAP-REQ-027",DOCUMENTED
RAP-EVD-006,Restriction or revocation,"control ID/version; affected scope; authorized actor/basis; reason class; effective time; watermark; invalidated projections; notice","RAP-SRC-003;RAP-SRC-011",Item 03 and Records,"Safe reasons; protected restriction details withheld","RAP-REQ-011;RAP-REQ-013;RAP-REQ-027",DOCUMENTED
RAP-EVD-007,Authorization request,"request/correlation; actor/principal chain; accountable human; tenant; action/resource/fields; purpose; input versions; time; device","RAP-SRC-003;RAP-SRC-007",Item 03 and Audit,"Exclude secrets; minimize requested subject data","RAP-REQ-008;RAP-REQ-009;RAP-REQ-027",DOCUMENTED
RAP-EVD-008,Authorization decision,"decision ID; request; outcome; bounded projection; safe reasons; evaluated versions; policy; watermark; issue/expiry; obligations; step-up","RAP-SRC-003;RAP-SRC-011",Item 03 and Audit,"Reason projection must prevent enumeration","RAP-REQ-010;RAP-REQ-012;RAP-REQ-027",DOCUMENTED
RAP-EVD-009,Permission enforcement,"decision/projection ID; enforcement point; actor; tenant; action/resource/fields; outcome; time; correlation","RAP-SRC-003;RAP-SRC-011",Item 03 and Audit,"Minimum necessary enforcement logging","RAP-REQ-012;RAP-REQ-027",DOCUMENTED
RAP-EVD-010,Offline proposal/reconciliation,"proposal/idempotency; actor/device; tenant; payload digest; versions; watermark; clock confidence; retries; conflict/result; successor","RAP-SRC-003;RAP-SRC-011",Item 03 with owning domain/Records,"No unnecessary offline protected data","RAP-REQ-015;RAP-REQ-031",DOCUMENTED
RAP-EVD-011,Dispute/correction,"claim; claimant; affected source; restriction; review actor; outcome; original/successor IDs and digests; notices","RAP-SRC-011",Item 03 with Claims/Records,"Separate claimant visibility from protected evidence","RAP-REQ-014;RAP-REQ-016;RAP-REQ-028",DOCUMENTED
RAP-EVD-012,Provider authority change,"provider principal/actor chain; relationship/representation/delegation sources; scope; purpose; restrictions; decision; watermark; affected projections","RAP-SRC-008;RAP-SRC-009",Item 03 and Records,"Provider profile/portal/payment data minimized and non-authoritative","RAP-REQ-017;RAP-REQ-018;RAP-REQ-019",DOCUMENTED_GFD_003
RAP-EVD-013,Provider care/portal projection,"Item 03 decision; bounded Item 07/10 projection; source versions; expiry; restriction; use result; correlation","RAP-SRC-008;RAP-SRC-009",Items 03/07/10 and Records,"Purpose-bound horse/person fields","RAP-REQ-023;RAP-REQ-026;RAP-REQ-027",DOCUMENTED_GFD_003
RAP-EVD-014,Financial-domain handoff,"actor/authority decision; Item 09 obligation/agreement version; action; outcome; correlation","RAP-SRC-003;RAP-SRC-008",Items 03/09 and Records,"Financial status cannot expose or create relationship authority","RAP-REQ-025;RAP-REQ-027",DOCUMENTED_GFD_003
RAP-EVD-015,Support access,"ticket; actor/principal; approver; tenant; purpose; fields; start/expiry; actions; notice; revocation; review","RAP-SRC-003;RAP-SRC-011",Item 03 with support/Records,"Visible bounded access; no secret payloads","RAP-REQ-003;RAP-REQ-012;RAP-REQ-027",PREDECESSOR_QUALIFIED
RAP-EVD-016,System/automation action,"named system actor; accountable owner; policy/delegation; tenant; action/purpose; inputs; decision; outcome; escalation","RAP-SRC-003;RAP-SRC-011",Item 03 and Audit,"No prompt secrets or inferred authority truth","RAP-REQ-003;RAP-REQ-030",PREDECESSOR_QUALIFIED
RAP-EVD-017,Validation/freeze,"artifact filename; hash; manifest entry; validator version/command; result; limitation; time","RAP-SRC-001",Program custodian,"No production or user data","RAP-REQ-036",DOCUMENTED
RAP-EVD-018,Review lifecycle,"frozen package; permission record; reviewer identity/role; isolated output; execution evidence; disposition","RAP-SRC-001;RAP-SRC-008",Review custodian,"Not created until a separately authorized compliant review","RAP-REQ-035",PENDING_COMPLIANT_FRESH_REVIEW
