field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
analysis_id,analysis id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,analysis_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
tested_population,tested population,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,tested_population_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
method,method,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,method_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
duplicates,duplicates,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,duplicates_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
semantic_overlaps,semantic overlaps,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,semantic_overlaps_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
stale_findings,stale findings,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,stale_findings_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
abandoned_findings,abandoned findings,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,abandoned_findings_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
improperly_closed_findings,improperly closed findings,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,improperly_closed_findings_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
findings_lacking_evidence,findings lacking evidence,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,findings_lacking_evidence_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
conflicting_severity,conflicting severity,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; enum and relationship checks where implemented,conflicting_severity_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
