id,status,disposition,authority_effect
SHELL-FD-CAND-001,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-002,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-003,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-004,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-005,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-006,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-007,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-008,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-009,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-010,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-011,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
SHELL-FD-CAND-012,APPROVED,Approved as recommended,DOCUMENTARY_ONLY
