trace_id,artifact_or_claim,source_ids,decision_ids,program_files,status
TR-001,Canonical template is established,SRC-PIA-STD-001;SRC-PIA-STD-002,NONE,PIA_MASTER_TEMPLATE_IDENTIFICATION.md,VERIFIED
TR-002,Five exact questions are established,SRC-PIA-STD-001;SRC-DIR-001,NONE,PIA_FIVE_QUESTION_FRAMEWORK_IDENTIFICATION.md;PIA_SOURCE_CONFLICT_REGISTER.csv,VERIFIED_WITH_DISCLOSED_OVERRIDE
TR-003,Creation kit is authenticated,SRC-KIT-001,NONE,PIA_SOURCE_AND_AUTHORITY_INVENTORY.md,VERIFIED_31_OF_31_INTERNAL_CHECKS
TR-004,Portfolio contains ten PIAs,SRC-PORT-001;SRC-PORT-002,NONE,REMAINING_PIA_MASTER_REGISTER.csv;REMAINING_PIA_SCOPE_MAP.md,VERIFIED
TR-005,Assessment list creates no automatic new PIA,SRC-DIR-001;SRC-PORT-001,NONE,PIA_EXISTING_AND_REMAINING_INVENTORY.csv;REMAINING_PIA_SCOPE_MAP.md,VERIFIED
TR-006,Underlying Identity design approved but successor not ratified,SRC-PIA-01;SRC-PORT-002,NONE,REMAINING_PIA_COMPLETION_DASHBOARD.csv;BATCH_01_FOUNDATIONAL/ES-PIA-IDENTITY-ONBOARDING_SOURCE_PACKET.md,VERIFIED_STATE_QUALIFIED
TR-007,Underlying Relationships design approved but successor not ratified,SRC-PIA-03A;SRC-PORT-002,NONE,REMAINING_PIA_COMPLETION_DASHBOARD.csv;BATCH_01_FOUNDATIONAL/ES-PIA-RELATIONSHIP-AUTHORIZATION-PERMISSION_SOURCE_PACKET.md,VERIFIED_STATE_QUALIFIED
TR-008,Facility decisions incorporated but candidate not adopted,SRC-PIA-02-R3,NONE,REMAINING_PIA_COMPLETION_DASHBOARD.csv;BATCH_01_FOUNDATIONAL/ES-PIA-FACILITY-TENANT-ORGANIZATION_SOURCE_PACKET.md,VERIFIED_STATE_QUALIFIED
TR-009,Facility formal review did not start; GFD-007 policy approved but runtime not provisioned,SRC-REV-022,ES-PIA-GFD-007,PROGRAM_REVIEW_RUNTIME_GATE.md;PROGRAM_RUNTIME_PERMISSION_RECORDS.csv;REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md,VERIFIED_POLICY_APPROVED_RUNTIME_NOT_PROVISIONED
TR-010,Facility current package lacks V1.1 primary-document/five-question conformance,SRC-PIA-STD-001;SRC-PIA-02-R3;SRC-KIT-001,NONE,BATCH_01_FOUNDATIONAL/BATCH_01_CROSS_PIA_FINDINGS.csv;REMAINING_PIA_GLOBAL_RISK_REGISTER.csv,VERIFIED_MECHANICALLY_NOT_INDEPENDENT_REVIEW
TR-011,Item 03 integrated A/B/C V0.1 remains preserved and a separate V0.2 strengthened documentary candidate exists,SRC-PIA-03A;SRC-PORT-001,ES-PIA-GFD-003,REMAINING_PIA_MASTER_REGISTER.csv;BATCH_01_FOUNDATIONAL/ES-PIA-RELATIONSHIP-AUTHORIZATION-PERMISSION_SOURCE_PACKET.md;BATCH_01_FOUNDATIONAL/ITEM_03_INITIAL_DRAFT_V0_1/ES-PIA-RELATIONSHIP-AUTHORIZATION-PERMISSION_V0_1_INITIAL_DRAFT.md;BATCH_01_FOUNDATIONAL/ITEM_03_STRENGTHENED_V0_2/ES-PIA-RELATIONSHIP-AUTHORIZATION-PERMISSION_V0_2_STRENGTHENED_DOCUMENTARY_CANDIDATE.md,VERIFIED_DOCUMENTARY_CANDIDATE_FRESH_REVIEW_PENDING
TR-012,Eight distinct portfolio positions remain undrafted,SRC-PORT-001;SRC-PORT-003,NONE,REMAINING_PIA_MASTER_REGISTER.csv;REMAINING_PIA_COMPLETION_DASHBOARD.csv,VERIFIED
TR-013,Competition show and travel ownership allocated,SRC-DIR-001;SRC-PORT-001,ES-PIA-GFD-001,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md;REMAINING_PIA_SCOPE_MAP.md;REMAINING_PIA_DEPENDENCY_MATRIX.csv,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
TR-014,Asset maintenance service-request and financial ownership allocated,SRC-DIR-001;SRC-PORT-001,ES-PIA-GFD-002,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md;REMAINING_PIA_SCOPE_MAP.md;REMAINING_PIA_DEPENDENCY_MATRIX.csv,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
TR-015,Provider network ownership allocated and incorporated into Item 03 V0.2,SRC-DIR-001;SRC-PORT-001,ES-PIA-GFD-003,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md;REMAINING_PIA_SCOPE_MAP.md;BATCH_01_FOUNDATIONAL/ITEM_03_STRENGTHENED_V0_2/FOUNDER_DECISION_TRACEABILITY_MATRIX.csv,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
TR-016,No eleventh Reporting PIA; domain truth and Item 05 shared surfaces allocated,SRC-PORT-001; reporting canon,ES-PIA-GFD-004,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md;REMAINING_PIA_SCOPE_MAP.md;REMAINING_PIA_DEPENDENCY_MATRIX.csv,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
TR-017,No implementation authority exists,SRC-DIR-001;SRC-GOV-001;SRC-MIAP-002;SRC-PORT-002,NONE,REMAINING_PIA_PROGRAM_README.md;REMAINING_PIA_FINAL_STATUS_REPORT.md,VERIFIED
TR-018,Exact 2026-07-22 Founder approval statement and all five documentary-only decisions recorded,SRC-DIR-001,ES-PIA-GFD-001;ES-PIA-GFD-002;ES-PIA-GFD-003;ES-PIA-GFD-004;ES-PIA-GFD-007,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md;REMAINING_PIAS_GLOBAL_FOUNDER_DECISION_REGISTER.csv,VERIFIED_DOCUMENTARY_APPROVAL
TR-019,Item 03 V0.2 contains 28 required deliverables and 43 ordered sections,SRC-PIA-03A;SRC-DIR-001,ES-PIA-GFD-003,BATCH_01_FOUNDATIONAL/ITEM_03_STRENGTHENED_V0_2/ARTIFACT_MANIFEST.json;BATCH_01_FOUNDATIONAL/ITEM_03_STRENGTHENED_V0_2/VALIDATION_REPORT.md,VERIFIED_MECHANICALLY_NOT_INDEPENDENT_REVIEW
TR-020,Item 03 V0.1 and prior evidence remain unchanged from preserved commit 05eaa53be3e5e6aa00814eaeee49f145b3bc6c49,SRC-PIA-03A,NONE,BATCH_01_FOUNDATIONAL/ITEM_03_INITIAL_DRAFT_V0_1;REMAINING_PIA_VALIDATION_REPORT.md,VERIFIED_BY_GIT_OBJECT_COMPARISON
TR-021,Item 04 V0.1 V0.2 and V0.3 are preserved separately with V0.3 exact bytes unchanged,SRC-ITEM04-PKG-001,HOR-FD-001;HOR-FD-017,BATCH_02_HORSE_DOMAIN/ITEM_04_INITIAL_DRAFT_V0_1;BATCH_02_HORSE_DOMAIN/ITEM_04_STRENGTHENED_V0_2;BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/ES-PIA-HORSE-IDENTITY-LIFECYCLE_V0_3_FOUNDER_APPROVED_DESIGN_BASELINE.md,VERIFIED_BYTE_PRESERVED
TR-022,HOR-FD-001 through HOR-FD-017 are Founder-approved documentary-design decisions only,SRC-ITEM04-PKG-001,HOR-FD-001;HOR-FD-002;HOR-FD-003;HOR-FD-004;HOR-FD-005;HOR-FD-006;HOR-FD-007;HOR-FD-008;HOR-FD-009;HOR-FD-010;HOR-FD-011;HOR-FD-012;HOR-FD-013;HOR-FD-014;HOR-FD-015;HOR-FD-016;HOR-FD-017,BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/FOUNDER_APPROVAL_RECORD_ITEM_04_V0_3.md;BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/FOUNDER_DECISION_REGISTER.csv;BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/FOUNDER_DECISION_TRACEABILITY_MATRIX.csv,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
TR-023,"Item 04 V0.3 companion package contains required machine-readable registers, validation report, manifest, and checksum ledger",SRC-ITEM04-PKG-001,HOR-FD-001;HOR-FD-017,BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/ARTIFACT_MANIFEST.json;BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/VALIDATION_REPORT.md;BATCH_02_HORSE_DOMAIN/ITEM_04_FOUNDER_APPROVED_V0_3/CHECKSUM_LEDGER.sha256,VERIFIED_MECHANICALLY_NOT_INDEPENDENT_REVIEW
