decision_id,domain,decision_class,original_proposed_wording,original_status,historical_source,final_disposition,approved_wording,modification,decision_date,effective_date,Founder_evidence_source,source_path,source_sha256,byte_length,related_canon,related_PIA,related_ADR,related_Code_Guide,related_RF_or_IWP,related_finding,implementation_authority_effect,activation_effect,pilot_effect,production_effect,current_effect,scope,limitations,retained_risk,supersedes,superseded_by,review_trigger,revocation_state,current_controlling_evidence
T1D05-DEC-001,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json,6ad000d6da464bb6c50b4b88dc467c8418203910c8150ff921e821dcd679f6ef,20777,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json
T1D05-DEC-002,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md,d414acd661b2cf1eb22662331b12c795f89b2ff012b42423589ad953907c4e7d,11477,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md
T1D05-DEC-003,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx,docs/canon/MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx,414e912c9caec58573558a5fa3e7519db59506b7a903879db3af33e840c0d1e8,140809,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx
T1D05-DEC-004,MANIFEST_OR_CHECKSUM_LEDGER,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST.json,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST.json,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST.json,a3c6306bb9939fbfa4a27118acd5a38763625b98e140938e033982b6d862e2e7,1303,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST.json
T1D05-DEC-005,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md,3b3ac9df2cf4497674b71e91d8ad5188674b7aac9152365b16c8ef3a5a57d110,2230,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md
T1D05-DEC-006,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_ADOPTION_REPORT.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_ADOPTION_REPORT.md,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_ADOPTION_REPORT.md,07e7404839ff3fbde4d64cbde01861d35bf9ac3999bcd74ca1eef80583cd4b70,1878,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_ADOPTION_REPORT.md
T1D05-DEC-007,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_LEDGER.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_LEDGER.md,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_LEDGER.md,91512918b0e2f2d3aafc0a14c072340311a1975efa230c0f5bd17cfa6ce34b4d,1819,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_LEDGER.md
T1D05-DEC-008,MANIFEST_OR_CHECKSUM_LEDGER,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST.json,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST.json,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST.json,84dd02d4d9e0e4fc9c4ec5949e2c22aefc69019110cf7bd3e23aa16cd836eebb,1508,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST.json
T1D05-DEC-009,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_REPORT.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_REPORT.md,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_REPORT.md,4be7815ffc28adc30bfd331e3d87009432dc038886282dfbabe5dd262f483dcf,2763,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_REPORT.md
T1D05-DEC-010,CONSTITUTIONAL_GOVERNANCE_SOURCE,PROPOSED_OR_CONTEXTUAL_DECISION,See source row exact title and artifact text.,PROTECTED_CURRENT,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md,PENDING_FOUNDER_DISPOSITION,NO_APPROVED_WORDING_RECORDED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC_OR_NONE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md,5634f75dbefe32616f8908b9a731187c5c165a43b4de97f14d6cbd8449cf0b46,929,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,NOT_GRANTED_BY_THIS_REGISTER,DOCUMENTARY_RECORD_ONLY,ROW_LEVEL_SOURCE_SCOPE,No inference beyond durable source evidence.,RETAINED_IF_SOURCE_IDENTIFIES,SOURCE_SPECIFIC,SOURCE_SPECIFIC,"Source conflict, missing evidence, branch merge, or Founder disposition.",NOT_REVOKED_BY_THIS_PACKAGE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md
