artifact_id,program_or_guide_id,artifact_type,title,expected_path,required_stage,required,version,status,source_prompt,checksum,commit_sha,remote_verified,supersedes,superseded_by,notes
CGP-ART-0001,CGP-002,PROGRAM_DOCUMENT,CANONICAL_GUIDE_INVENTORY.md,governance/implementation/code-guides/CANONICAL_GUIDE_INVENTORY.md,CGP-002,YES,0.2.0,CREATED,CGP-002,953ad57407b9e7f8059c0fbf4ab80b92902ee59b8743c2d2f73406fa3ffab806,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0002,CGP-002,PROGRAM_DOCUMENT,CGP_002_VALIDATION_AND_USAGE_GUIDE.md,governance/implementation/code-guides/CGP_002_VALIDATION_AND_USAGE_GUIDE.md,CGP-002,YES,0.2.0,CREATED,CGP-002,34482ad7b7792f8930539d55a1e135aed073671a316f58778519efe91352760c,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. NEW."
CGP-ART-0003,CGP-002,PROGRAM_DOCUMENT,CONTROLLED_VALUES.md,governance/implementation/code-guides/CONTROLLED_VALUES.md,CGP-002,YES,0.2.0,CREATED,CGP-002,1915163d43755504dbca3046438ce379728f59a27cfecba2d6224fb1696745be,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0004,CGP-002,PROGRAM_DOCUMENT,NON_AUTHORIZATION_BOUNDARY.md,governance/implementation/code-guides/NON_AUTHORIZATION_BOUNDARY.md,CGP-002,YES,0.2.0,CREATED,CGP-002,6eb283544e1132206cfd96da4576e937b0569a5e97a4e2706ea04cb61d7f20b6,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0005,CGP-002,PROGRAM_DOCUMENT,PROGRAM_CHARTER_PLACEHOLDER.md,governance/implementation/code-guides/PROGRAM_CHARTER_PLACEHOLDER.md,CGP-002,YES,0.2.0,CREATED,CGP-002,490f7f3120314af1bb104aaf6209e51bca112549699051f3829c0d85d7944459,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0006,CGP-002,PROGRAM_DOCUMENT,PROGRAM_DEPENDENCY_WAVES.md,governance/implementation/code-guides/PROGRAM_DEPENDENCY_WAVES.md,CGP-002,YES,0.2.0,CREATED,CGP-002,33c9f9c560671376331741220e3b0516e355f75787b1d38ec954d0b63d60ba05,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0007,CGP-002,PROGRAM_DOCUMENT,PROGRAM_STATUS.md,governance/implementation/code-guides/PROGRAM_STATUS.md,CGP-002,YES,0.2.0,CREATED,CGP-002,da70085627318a5a08536d8e2eafcdf2fba72ac57f6ff5b552627f6c85ee9339,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0008,CGP-002,PROGRAM_DOCUMENT,README.md,governance/implementation/code-guides/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,4266d15f3d9504b8973a69d3b018172a0fad24b92f23ef916ebce92c6ef7ac93,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0009,CGP-002,PROGRAM_DOCUMENT,REGISTER_DATA_DICTIONARY.md,governance/implementation/code-guides/REGISTER_DATA_DICTIONARY.md,CGP-002,YES,0.2.0,CREATED,CGP-002,17a4cc7bcc68219660a57809c862fff8c3d79510a9dbd490dfb9cb8d79fa6fc4,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0010,ES-CG-00,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-00/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,0805cf9fffd2265d61f2a2e7d554663b13f768087d29f7fc4f3edc5727dc2d6e,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0011,ES-CG-01,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-01/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,5c4fca2330e41eeb2afe4775be0024bd7fa4513ecbc5d2af6124c40c13de79af,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0012,ES-CG-02,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-02/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,bf67d4b83a359f00412c9093036398441ade8f86bcf73ed2288af0843b62c716,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0013,ES-CG-03,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-03/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,2ec06d7ff3358dd9a2ce43a3c18285c18a690ee8b663b8f82ff4c9f039007553,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0014,ES-CG-04,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-04/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,7a385d498943e9ab64788981e34b5bd9a39125333afb4d522fde394cb9146b9e,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0015,ES-CG-05,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-05/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,ebcc707b9acc5eba9cef6c75a59f05fafe1613aa92bcaf65dea4fbd513ff7933,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0016,ES-CG-06,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-06/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,1f3eeee7c25580eaffe4276850d6587d79cff94d1f83ef0e747cde0cec107f34,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0017,ES-CG-07,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-07/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,44ca3b0538b90c9c7dbc971dc5dd29a9f7d200aa84bc38d3ce63eba6e7e619d1,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0018,ES-CG-08,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-08/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,07af764b817f4e258a35d952650ce6b69426fa9d5b9c6f6e9d6d78f7ed792bb0,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
CGP-ART-0019,ES-CG-09,GUIDE_PLACEHOLDER,README.md,governance/implementation/code-guides/guides/ES-CG-09/README.md,CGP-002,YES,0.2.0,CREATED,CGP-002,fbd1c36fa9d073b610adf0862503d72b30155952d094143972ec8317d78f8425,e4f56f9a9e347cc7087bddb79b01ba1e2e870510,NO,,,"CGP-002 shared foundation, validation, documentation, or custody artifact. STRENGTHENED."
